Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3214482	3671498	0.117107	0.009901	0.026279
Rp1	Rp1	chr1	-	4119866	4409241	0.544552	0.137466	0.364852
Sox17	Sox17	chr1	-	4490928	4497354	0.292796	0.024901	0.066091
Mrpl15	Mrpl15	chr1	-	4773200	4785726	244.530045	22.613445	60.018810
Lypla1	Lypla1	chr1	+	4807823	4846735	469.830048	39.857510	105.786636
Tcea1	Tcea1	chr1	+	4857694	4897909	391.125061	146.345703	388.419128
Rgs20	Rgs20	chr1	-	4909576	5070285	5.697299	0.569647	1.511912
Atp6v1h	Atp6v1h	chr1	+	5083086	5162549	212.238281	18.074823	47.972763
Oprk1	Oprk1	chr1	+	5588493	5606133	0.000000	0.000000	0.000000
Npbwr1	Npbwr1	chr1	-	5913707	5917398	0.325027	0.027480	0.072936
Rb1cc1	Rb1cc1	chr1	+	6214662	6276104	1869.141724	158.032181	419.436462
Alkal1	Alkal1	chr1	+	6359331	6394731	0.000000	0.000000	0.000000
St18	St18	chr1	+	6487231	6860940	1.118617	0.217807	0.578087
Pcmtd1	Pcmtd1	chr1	+	7088920	7173628	36.436859	3.080663	8.176452
Sntg1	Sntg1	chr1	-	8359739	9299877	0.0	0.0	0.0
Rrs1	Rrs1	chr1	+	9545408	9547455	711.194580	60.130070	159.592453
Adhfe1	Adhfe1	chr1	+	9547948	9577970	1.677089	0.141795	0.376340
2610203C22Rik	2610203C22Rik	chr1	-	9560833	9631092	2.417793	0.204420	0.542554
Vxn	Vxn	chr1	+	9601267	9627142	1.738582	0.146994	0.390139
Mybl1	Mybl1	chr1	-	9667411	9700209	35.146667	3.034631	8.054277
Vcpip1	Vcpip1	chr1	-	9718622	9748382	68.987755	5.832776	15.480890
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	4.244602	0.358873	0.952491
Sgk3	Sgk3	chr1	+	9798130	9902568	90.244400	31.360970	83.235794
Mcmdc2	Mcmdc2	chr1	+	9908638	9940954	9.243162	0.781491	2.074171
Snhg6	Snhg6	chr1	-	9942025	9944118	247.336594	20.911812	55.502468
Snord87	Snord87	chr1	-	9942470	9942543	124.094597	10.491948	27.846897
Tcf24	Tcf24	chr1	-	9960163	9967810	5.781630	0.488825	1.297401
Ppp1r42	Ppp1r42	chr1	-	9968622	10009136	0.777243	0.066405	0.176247
Cops5	Cops5	chr1	-	10024600	10038159	355.046448	30.423033	80.746399
Cspp1	Cspp1	chr1	+	10038218	10136768	63.826408	6.623510	17.579594
Arfgef1	Arfgef1	chr1	-	10137507	10232670	229.178802	19.376606	51.427853
Cpa6	Cpa6	chr1	-	10324719	10719945	0.000000	0.000000	0.000000
Mir467e	Mir467e	chr1	-	10708387	10865874	0.000000	0.000000	0.000000
Prex2	Prex2	chr1	+	10993465	11303682	3.641993	0.446296	1.184523
A830018L16Rik	A830018L16Rik	chr1	+	11414105	11975902	0.693948	0.072665	0.192862
Mir6341	Mir6341	chr1	+	12425986	12426106	0.0	0.0	0.0
Gm17644	Gm17644	chr1	+	12667563	12673090	0.000000	0.000000	0.000000
Sulf1	Sulf1	chr1	+	12692430	12860372	0.252064	0.067616	0.179461
Slco5a1	Slco5a1	chr1	-	12866550	12991135	4.335448	0.366553	0.972877
Prdm14	Prdm14	chr1	-	13113428	13127163	9.158099	0.774299	2.055083
Ncoa2	Ncoa2	chr1	-	13139105	13374083	86.596436	7.548777	20.035364
Tram1	Tram1	chr1	-	13564693	13589910	118.185867	9.992376	26.520973
Lactb2	Lactb2	chr1	-	13625900	13660509	351.987549	29.759840	78.986206
Xkr9	Xkr9	chr1	+	13668771	13701723	104.954575	8.873698	23.551867
Gm5523	Gm5523	chr1	-	13785685	13786929	0.000000	0.000000	0.000000
Eya1	Eya1	chr1	-	14168958	14310199	13.643499	1.154983	3.065464
Msc	Msc	chr1	-	14753346	14755966	1.719498	0.145380	0.385856
Trpa1	Trpa1	chr1	-	14872644	14918862	4.205757	0.355927	0.944674
Kcnb2	Kcnb2	chr1	+	15286925	15723750	0.308313	0.026067	0.069186
Terf1	Terf1	chr1	+	15805646	15844052	838.037903	71.303680	189.248566
Sbspon	Sbspon	chr1	-	15853862	15892722	24.133854	2.040468	5.415650
4930444P10Rik	4930444P10Rik	chr1	-	16065979	16093325	29.367409	2.482955	6.590063
Rpl7	Rpl7	chr1	-	16101296	16104433	11764.556641	994.669617	2639.973145
Rdh10	Rdh10	chr1	+	16105882	16132550	312.410004	26.413637	70.104980
Stau2	Stau2	chr1	-	16228810	16519302	33.846512	4.418149	11.726302
Ube2w	Ube2w	chr1	-	16540788	16619291	10.190595	4.174209	11.078854
Eloc	Eloc	chr1	-	16641725	16657119	1648.943848	253.926132	673.950623
D030040B21Rik	D030040B21Rik	chr1	+	16657552	16662278	9.509861	0.804040	2.134018
Tmem70	Tmem70	chr1	+	16665191	16678275	473.671204	40.108467	106.452713
Ly96	Ly96	chr1	+	16688456	16709605	143.674774	12.200694	32.382114
Jph1	Jph1	chr1	-	16994940	17097889	26.143436	2.210375	5.866601
Gdap1	Gdap1	chr1	+	17145373	17164270	64.435104	5.447858	14.459273
Pi15	Pi15	chr1	+	17601901	17630939	0.081758	0.006912	0.018347
Gm16070	Gm16070	chr1	-	17676027	17727646	0.0	0.0	0.0
Crispld1	Crispld1	chr1	+	17727045	17766344	0.0	0.0	0.0
Crisp4	Crisp4	chr1	-	18115191	18145902	0.0	0.0	0.0
Defb44-ps	Defb44-ps	chr1	-	18210053	18223564	0.0	0.0	0.0
Defb18	Defb18	chr1	-	18236402	18237476	0.0	0.0	0.0
Defb41	Defb41	chr1	-	18250978	18265138	0.232759	0.214164	0.568418
Gm15825	Gm15825	chr1	-	19063300	19104840	0.000000	0.000000	0.000000
Tfap2d	Tfap2d	chr1	+	19103022	19168587	0.223009	0.018855	0.050043
Tfap2b	Tfap2b	chr1	+	19208914	19238845	0.376478	0.041441	0.109989
Pkhd1	Pkhd1	chr1	-	20057779	20618057	4.024389	0.340254	0.903075
4930486I03Rik	4930486I03Rik	chr1	+	20356454	20392300	0.000000	0.000000	0.000000
Lincmd1	Lincmd1	chr1	+	20669882	20682958	0.000000	0.000000	0.000000
Mir206	Mir206	chr1	+	20679010	20679082	0.000000	0.000000	0.000000
Mir133b	Mir133b	chr1	+	20682769	20682887	0.000000	0.000000	0.000000
Il17a	Il17a	chr1	+	20730905	20734496	0.000000	0.000000	0.000000
Il17f	Il17f	chr1	-	20777146	20784270	1.884935	0.159367	0.422980
Mcm3	Mcm3	chr1	-	20802968	20820312	774.727234	65.501625	173.849228
6720483E21Rik	6720483E21Rik	chr1	-	20888650	20890473	0.000000	0.000000	0.000000
Paqr8	Paqr8	chr1	+	20890548	20939650	0.091544	0.028167	0.074759
Efhc1	Efhc1	chr1	+	20951626	20990841	0.101249	0.008560	0.022720
Tram2	Tram2	chr1	-	21001397	21079225	1.184892	0.100180	0.265890
Tmem14a	Tmem14a	chr1	+	21218575	21230167	0.680353	0.057522	0.152672
Gsta3	Gsta3	chr1	+	21240585	21265575	1.214055	0.109082	0.289518
Gm4956	Gm4956	chr1	-	21285246	21298312	10.401524	0.879428	2.334108
Khdc1a	Khdc1a	chr1	+	21349677	21352199	1451.351807	122.708878	325.684174
Khdc1c	Khdc1c	chr1	+	21368331	21369743	3150.885742	266.401031	707.060486
Khdc1b	Khdc1b	chr1	+	21383556	21386384	689.166504	58.267639	154.649353
Kcnq5	Kcnq5	chr1	-	21398399	21962650	0.797626	0.068182	0.180964
Rims1	Rims1	chr1	-	22285973	22806003	2.437128	0.206115	0.547054
Gm7759	Gm7759	chr1	+	22898387	22905081	1.790219	0.151359	0.401726
4933415F23Rik	4933415F23Rik	chr1	-	23100474	23102253	0.168539	0.014250	0.037820
Mir30a	Mir30a	chr1	+	23272269	23272339	7.492958	0.633515	1.681424
Mir30c-2	Mir30c-2	chr1	+	23291701	23291784	8.488094	0.717651	1.904733
Ogfrl1	Ogfrl1	chr1	-	23366424	23383175	19.871803	1.680121	4.459244
