chr	start	end	Morula_Klf5_ds
chr1	3445227	3445521	10.772083684700688
chr1	3445727	3446192	10.596539029767436
chr1	3671856	3672082	15.56239013756271
chr1	3672268	3672550	11.12354059760452
chr1	3958764	3959109	12.750269610639931
chr1	4446762	4447125	8.361744791351402
chr1	4447891	4448456	18.084622070852635
chr1	4571555	4571762	12.095130031235552
chr1	4762132	4762398	21.047717947708932
chr1	4762616	4762853	10.704272296358262
chr1	4785501	4786085	14.454489082506258
chr1	5008145	5008442	16.163755249896838
chr1	5103063	5103306	9.984180813463627
chr1	5915799	5916019	11.170646671815351
chr1	6152418	6152600	14.0472656082321
chr1	6188247	6188489	25.797174036010237
chr1	6188715	6188927	24.278551227641554
chr1	6293310	6293684	18.260170898335502
chr1	6989450	6989791	10.083126771485002
chr1	6997595	6998024	12.037964661916098
chr1	7032309	7032527	15.444799593829234
chr1	7044885	7045871	23.142697424240577
chr1	7207343	7207587	12.729817605409465
chr1	7299118	7299339	12.556734387151796
chr1	7397096	7398405	16.376407425853476
chr1	9469705	9470067	10.268166278607278
chr1	9700514	9700954	17.685908313231035
chr1	9748612	9749175	14.399099587123729
chr1	9768212	9768865	19.95181323412184
chr1	9798915	9799114	24.807126241712712
chr1	9799367	9799667	18.574097795486452
chr1	9825390	9825721	16.34192891711555
chr1	9847940	9848187	16.369188289410673
chr1	9874746	9875324	12.293398151760695
chr1	9886934	9887130	13.878966837513204
chr1	9897589	9897777	11.343942834975872
chr1	9908807	9909093	8.360442468336412
chr1	9944279	9944563	23.75654846513775
chr1	9968055	9968337	14.503394116746618
chr1	10037937	10038171	22.997791090582172
chr1	10039206	10040119	16.26623281957286
chr1	10169947	10170306	15.195890838389277
chr1	10177804	10178001	21.82937089561811
chr1	10285336	10285672	14.450599447602318
chr1	11330018	11330618	10.380256848335266
chr1	11466985	11467182	14.242669517013628
chr1	11492940	11493312	12.863581135708799
chr1	11493528	11493728	11.41396611213684
chr1	11816490	11816715	12.347193325890435
chr1	11846868	11847095	13.22236730768817
chr1	12351597	12351880	11.177737198954336
chr1	12836766	12836955	13.898148251589014
chr1	12865209	12865901	17.490928119317644
chr1	12875157	12876089	21.249922643915266
chr1	12886452	12886685	12.163551893357043
chr1	12992301	12992716	12.918503969261446
chr1	13043857	13044261	11.77920169641476
chr1	13052163	13052603	20.695324379747564
chr1	13065541	13065902	14.273114727474645
chr1	13103742	13104052	14.457748323871243
chr1	13118511	13118736	15.749145194159613
chr1	13207174	13207359	9.967971582670469
chr1	13259265	13259478	10.272454655786076
chr1	13372078	13372443	13.341225234776328
chr1	13426609	13426929	12.656120201945305
chr1	13531548	13531919	15.48220590761087
chr1	13596599	13597218	18.22961479935777
chr1	13605466	13605855	19.746803129240295
chr1	13606631	13607030	17.298027492704847
chr1	13643311	13643568	24.042511268348544
chr1	13645375	13645621	22.56631270075232
chr1	13646052	13646445	25.005309733422354
chr1	13663669	13664420	35.334741175889015
chr1	14743478	14743665	18.613893182519924
chr1	15062519	15063072	12.500881496864029
chr1	15286377	15286840	12.772626948923065
chr1	15791327	15791674	15.308225656448936
chr1	15791874	15792061	22.243224761065314
chr1	15838157	15838702	15.251729982708571
chr1	15892461	15892648	11.806045455728622
chr1	15920428	15920823	8.497482110277007
chr1	15936624	15937347	12.097652784851412
chr1	15962828	15963020	7.7490366250276566
chr1	15974942	15975183	18.29074092326817
chr1	16021629	16021919	14.268781313402899
chr1	16067045	16067243	21.29648992268726
chr1	16077265	16077800	18.07969928456244
chr1	16085705	16086163	16.76513065104922
chr1	16091149	16091342	20.480522264470707
chr1	16093452	16093666	19.07458863302926
chr1	16104471	16105183	15.93492616160532
chr1	16113268	16113535	9.888724736060096
chr1	16205871	16206060	25.657378625617458
chr1	16206267	16206754	14.462903460438001
chr1	16371769	16372064	10.205767534546933
chr1	16518449	16518739	10.205630826950074
chr1	16619333	16619868	14.516680143481103
chr1	16631531	16631840	17.654770613488257
chr1	16792401	16793305	20.46103846604845
chr1	16826191	16826544	13.944670311114606
chr1	17037975	17038200	13.946978833940294
chr1	17097480	17097863	14.976243357745536
chr1	17124296	17124488	9.091822234292826
chr1	17163704	17163943	11.971493485582423
chr1	20623103	20623415	11.051872922823978
chr1	20799861	20800054	14.222217678406079
chr1	20951868	20952247	10.005655399413095
chr1	21024146	21024475	19.25595636860578
chr1	21079500	21079705	26.518263793573148
chr1	21166421	21167076	19.081133295015526
chr1	21218477	21218779	15.657762764305469
chr1	21255602	21257003	19.28537552838322
chr1	21271492	21271696	14.444669181225347
chr1	21327324	21327606	24.13230306882385
chr1	21344534	21344925	18.77081396878528
chr1	21360805	21361332	9.839074756434114
chr1	21366022	21366458	14.76173776224119
chr1	21370886	21371226	14.923033317397623
chr1	21400185	21400371	20.262149277553764
chr1	21428137	21428562	24.810679446949678
chr1	23246540	23247001	14.8114376006054
chr1	23383455	23383740	18.092222832796867
chr1	23662001	23662216	13.282060419127
chr1	23701283	23701558	7.493332854184238
chr1	23701910	23702160	10.7432799243927
chr1	23763259	23763529	9.045022224496913
chr1	23793603	23793787	12.867963210396145
chr1	23938095	23938365	22.230853645889848
chr1	23966477	23966859	23.7618503096216
chr1	23993952	23994616	20.3857911550496
chr1	24005419	24005622	19.611066907497463
chr1	24100425	24100681	17.651648338884115
chr1	24611534	24612058	86.19487166677723
chr1	24615721	24616270	75.30629914054454
chr1	24660459	24660938	15.006341461348882
chr1	24688612	24688915	8.539180854759595
chr1	24776436	24776663	23.758479761132058
chr1	24776856	24777382	19.514395048409813
chr1	25020122	25020415	11.688755356004213
chr1	25020928	25021126	11.383204175968363
chr1	26686111	26686623	9.036135302390903
chr1	26687191	26688351	14.069869741900213
chr1	26739542	26739832	12.95330688542333
chr1	30817595	30817827	19.618267540273994
chr1	30864721	30865020	18.49834829987491
chr1	30873948	30874202	32.9916615974246
chr1	30892416	30893455	14.547104342610247
chr1	30908697	30909037	28.222714979508343
chr1	30921092	30921295	15.3584419118947
chr1	30922127	30922373	21.06053889670023
chr1	30929351	30929550	14.019115932023706
chr1	30937028	30937245	14.889325629730928
chr1	30937476	30938286	20.177550186345606
chr1	31104075	31104441	27.688856791928817
chr1	32172734	32172946	14.056300622112346
chr1	33271484	33271840	9.858754704507549
chr1	33636770	33637111	9.707795706662266
chr1	33637741	33638226	10.129123635636162
chr1	33650652	33650872	12.569078154997392
chr1	33669541	33670062	13.515536036463937
chr1	33709414	33709756	15.98000709355226
chr1	33720010	33720371	12.902744208676664
chr1	34073490	34073824	22.856669009088755
chr1	34074036	34074717	15.735080294672088
chr1	34107033	34107427	18.804375965583144
chr1	34175821	34176006	12.442538766603212
chr1	34382020	34382464	13.09192426569827
chr1	34439451	34440194	19.524236876101384
chr1	34498323	34498509	9.78868725222926
chr1	34516854	34517067	19.262318073863714
chr1	34536529	34537447	19.792407863799784
chr1	34560395	34560726	10.923113592441709
chr1	34626132	34626403	15.414499342661502
chr1	34642731	34643072	12.160022285327184
chr1	34668879	34669073	10.399964583288764
chr1	34697143	34697432	24.754979598893428
