chr	start	end	8Cell_siTfap2c_Klf5_ds
chr2	3283526	3284011	20.288729160348165
chr2	3318910	3319580	11.866851475701404
chr2	3332243	3333348	20.487252188807698
chr2	3512869	3513452	13.564563815835001
chr2	3525611	3526082	14.277990961783503
chr2	3713068	3713518	11.969373512268067
chr2	3799820	3800137	14.150784179615297
chr2	3988438	3988764	17.19342316586547
chr2	4103384	4104228	17.80432699189932
chr2	4344626	4344858	10.291988142605486
chr2	4581989	4582636	12.95545257409168
chr2	4651714	4652156	11.768940132667575
chr2	4663823	4664204	18.290942647638595
chr2	4686774	4687030	22.485016219317913
chr2	4711487	4711830	10.259209492463759
chr2	4723209	4723444	14.12825953706782
chr2	4833310	4833612	18.752864269231328
chr2	4834264	4834508	10.564482827655604
chr2	4876310	4876873	19.846781148791948
chr2	4884400	4884644	16.302863469866455
chr2	4901066	4901504	14.189839461078382
chr2	4906654	4906918	18.83950140620723
chr2	4920680	4921491	23.621593211934833
chr2	4942741	4943993	18.745392366720083
chr2	4949716	4950261	10.622744233892599
chr2	4952749	4952975	21.430116358056534
chr2	4958284	4958668	17.179728498061497
chr2	4964828	4965331	19.177501121050796
chr2	4969562	4970017	14.952338250128777
chr2	5006181	5006550	15.069191963692022
chr2	5014277	5014809	15.476646665343665
chr2	5025305	5025786	15.980869749231795
chr2	5249156	5249823	12.661937408361478
chr2	5315817	5316632	11.218123420762138
chr2	5479077	5479415	14.084125087106017
chr2	5479675	5480121	15.861410615690087
chr2	5733634	5733904	9.637729733078569
chr2	5768797	5769726	16.178676700181416
chr2	5806036	5806366	11.237183290539367
chr2	5825048	5825618	9.769620639399479
chr2	5844756	5845182	12.802663538937278
chr2	5923699	5923987	18.647709879610275
chr2	5925102	5925868	21.931432563393297
chr2	5951106	5951697	19.125040316541384
chr2	6071743	6072596	24.44327633713502
chr2	6074655	6075366	21.865031385891214
chr2	6089282	6089761	14.928361978311877
chr2	6104537	6105067	17.02927794186574
chr2	6123124	6123798	17.2508566570565
chr2	6124083	6124417	16.744050151573685
chr2	6142503	6143047	10.098223230418037
chr2	6163003	6163285	13.794726368383312
chr2	6170734	6171052	18.872126825200688
chr2	6192801	6193151	15.097175639016287
chr2	6220409	6220744	13.130271612708249
chr2	6819455	6820206	11.9971291863331
chr2	9820924	9821231	11.466341237680144
chr2	9850889	9851172	14.780712003000213
chr2	9856198	9856576	17.724469543134095
chr2	9878692	9878915	15.746137063064918
chr2	9879142	9879632	18.95687605799461
chr2	9889367	9889873	11.443981200810006
chr2	9955759	9956160	21.616230857639835
chr2	10070165	10070491	12.513735635148967
chr2	10082610	10082840	10.986693506655486
chr2	10136778	10137472	13.876045401570433
chr2	10176980	10177232	11.401057538532076
chr2	10272412	10272785	13.139134407043457
chr2	10288476	10288947	16.909929164149453
chr2	11059867	11060089	12.210207135827691
chr2	11069512	11069823	16.75851905000938
chr2	11259288	11259909	8.971319881998207
chr2	11331464	11331909	19.01953494254123
chr2	11375278	11376605	18.762330425351568
chr2	11405153	11405463	11.3877258916055
chr2	11453388	11453785	11.905736695008555
chr2	11501446	11501843	14.241712356394425
chr2	11546355	11546664	20.97618223394005
chr2	11563007	11563641	23.847045107218744
chr2	11565992	11566257	28.80329972752985
chr2	11572308	11572654	12.527970472512218
chr2	11626303	11626549	13.297697644892747
chr2	11663650	11664105	16.964353739560305
chr2	11699801	11700174	12.207816791278747
chr2	11778003	11778746	19.265868736308164
chr2	12301615	12301986	7.21172548465009
chr2	12358753	12358989	8.172687340590914
chr2	13271601	13271869	11.560345738681395
chr2	13408259	13409058	15.000928535031735
chr2	13489227	13489586	14.100389855153713
chr2	13500332	13501015	23.070792927050835
chr2	13523735	13524178	26.945456657668
chr2	13574427	13575060	132.80916764197568
chr2	13578410	13578805	69.69591205784037
chr2	13579418	13579648	101.23041918692381
chr2	13580020	13580328	137.21646027595966
chr2	13582469	13582790	191.36618035159006
