Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3214482	3671498	0.655343	0.070676	0.184578
Rp1	Rp1	chr1	-	4119866	4409241	0.074661	0.032051	0.083704
Sox17	Sox17	chr1	-	4490928	4497354	8.195336	1.100766	2.874757
Mrpl15	Mrpl15	chr1	-	4773200	4785726	180.540939	29.305872	76.535149
Lypla1	Lypla1	chr1	+	4807823	4846735	247.467438	26.707916	69.750343
Tcea1	Tcea1	chr1	+	4857694	4897909	95.510483	45.647675	119.213371
Rgs20	Rgs20	chr1	-	4909576	5070285	1.182127	0.150766	0.393740
Atp6v1h	Atp6v1h	chr1	+	5083086	5162549	368.160706	39.732174	103.764458
Oprk1	Oprk1	chr1	+	5588493	5606133	0.051932	0.005601	0.014627
Npbwr1	Npbwr1	chr1	-	5913707	5917398	0.039816	0.004294	0.011214
Rb1cc1	Rb1cc1	chr1	+	6214662	6276104	333.231659	35.937862	93.855247
Alkal1	Alkal1	chr1	+	6359331	6394731	0.175283	0.018904	0.049369
St18	St18	chr1	+	6487231	6860940	0.044444	0.010971	0.028652
Pcmtd1	Pcmtd1	chr1	+	7088920	7173628	119.751244	12.914751	33.728134
Sntg1	Sntg1	chr1	-	8359739	9299877	0.0	0.0	0.0
Rrs1	Rrs1	chr1	+	9545408	9547455	312.554199	33.707870	88.031410
Adhfe1	Adhfe1	chr1	+	9547948	9577970	0.774541	0.083532	0.218151
2610203C22Rik	2610203C22Rik	chr1	-	9560833	9631092	1.553896	0.167582	0.437657
Vxn	Vxn	chr1	+	9601267	9627142	1.035143	0.111637	0.291550
Mybl1	Mybl1	chr1	-	9667411	9700209	25.617174	2.834114	7.401567
Vcpip1	Vcpip1	chr1	-	9718622	9748382	53.003986	5.716293	14.928661
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	6.645536	0.716698	1.871726
Sgk3	Sgk3	chr1	+	9798130	9902568	27.593405	12.175828	31.798367
Mcmdc2	Mcmdc2	chr1	+	9908638	9940954	1.945053	0.209767	0.547827
Snhg6	Snhg6	chr1	-	9942025	9944118	125.243240	13.507043	35.274967
Snord87	Snord87	chr1	-	9942470	9942543	42.094589	4.539753	11.856010
Tcf24	Tcf24	chr1	-	9960163	9967810	3.200259	0.345137	0.901358
Ppp1r42	Ppp1r42	chr1	-	9968622	10009136	0.279278	0.030436	0.079486
Cops5	Cops5	chr1	-	10024600	10038159	426.228607	46.376457	121.116661
Cspp1	Cspp1	chr1	+	10038218	10136768	85.771820	11.352770	29.648870
Arfgef1	Arfgef1	chr1	-	10137507	10232670	223.216736	24.073139	62.869366
Cpa6	Cpa6	chr1	-	10324719	10719945	0.127746	0.013777	0.035980
Mir467e	Mir467e	chr1	-	10708387	10865874	0.000000	0.000000	0.000000
Prex2	Prex2	chr1	+	10993465	11303682	0.366732	0.063846	0.166741
A830018L16Rik	A830018L16Rik	chr1	+	11414105	11975902	1.142289	0.149909	0.391502
Mir6341	Mir6341	chr1	+	12425986	12426106	0.0	0.0	0.0
Gm17644	Gm17644	chr1	+	12667563	12673090	0.000000	0.000000	0.000000
Sulf1	Sulf1	chr1	+	12692430	12860372	0.725187	0.248138	0.648036
Slco5a1	Slco5a1	chr1	-	12866550	12991135	2.214345	0.238809	0.623674
Prdm14	Prdm14	chr1	-	13113428	13127163	11.900115	1.283386	3.351687
Ncoa2	Ncoa2	chr1	-	13139105	13374083	89.910591	9.990104	26.090136
Tram1	Tram1	chr1	-	13564693	13589910	440.846130	47.543701	124.165039
Lactb2	Lactb2	chr1	-	13625900	13660509	699.857483	75.477180	197.116043
Xkr9	Xkr9	chr1	+	13668771	13701723	70.358261	7.587891	19.816523
Gm5523	Gm5523	chr1	-	13785685	13786929	0.240964	0.025987	0.067868
Eya1	Eya1	chr1	-	14168958	14310199	4.586651	0.495188	1.293233
Msc	Msc	chr1	-	14753346	14755966	50.769955	5.494867	14.350383
Trpa1	Trpa1	chr1	-	14872644	14918862	4.922284	0.530851	1.386369
Kcnb2	Kcnb2	chr1	+	15286925	15723750	0.538122	0.058035	0.151563
Terf1	Terf1	chr1	+	15805646	15844052	377.858887	40.958408	106.966896
Sbspon	Sbspon	chr1	-	15853862	15892722	4.453421	0.480286	1.254313
4930444P10Rik	4930444P10Rik	chr1	-	16065979	16093325	4.557484	0.534460	1.395795
Rpl7	Rpl7	chr1	-	16101296	16104433	8468.083984	913.253052	2385.050049
Rdh10	Rdh10	chr1	+	16105882	16132550	97.673637	10.533758	27.509943
Stau2	Stau2	chr1	-	16228810	16519302	30.870432	5.151037	13.452438
Ube2w	Ube2w	chr1	-	16540788	16619291	10.213389	5.395097	14.089825
Eloc	Eloc	chr1	-	16641725	16657119	848.538818	171.549225	448.017609
D030040B21Rik	D030040B21Rik	chr1	+	16657552	16662278	0.210545	0.022707	0.059300
Tmem70	Tmem70	chr1	+	16665191	16678275	417.951599	45.139378	117.885910
Ly96	Ly96	chr1	+	16688456	16709605	62.262024	6.714740	17.536203
Jph1	Jph1	chr1	-	16994940	17097889	46.453499	5.009847	13.083706
Gdap1	Gdap1	chr1	+	17145373	17164270	0.911862	0.098341	0.256827
