nohup: ignoring input

	Position file = 8Cell_Tfap2c_c57_extended.bed
	Genome = mm10
	Output Directory = .
	Using actual sizes of regions (-size given)
	Fragment size set to given
	Using 15 CPUs
	Will find motif(s) in /home1/homer/motifs/ap2gamma.motif
	Found mset for "mouse", will check against vertebrates motifs
	Peak/BED file conversion summary:
		BED/Header formatted lines: 403
		peakfile formatted lines: 0

	Peak File Statistics:
		Total Peaks: 834
		Redundant Peak IDs: 2
		Peaks lacking information: 1 (need at least 5 columns per peak)
		Peaks with misformatted coordinates: 0 (should be integer)
		Peaks with misformatted strand: 0 (should be either +/- or 0/1)

	Redunant Peaks found: Remove or rename these or some programs may have trouble...

Use of uninitialized value $line[3] in pattern match (m//) at /usr/local/software/homer/bin/findMotifsGenome.pl line 554, <IN> line 694.
	Background fragment size set to 5278 (avg size of targets)
	Could not find background files for 5278 bp fragments
	Below are the sizes that are already available prepared.
		133
		200
		224
		283
		330
		332
		342
		354
		356
		368
		369
		370
		373
		378
		384
		385
		390
		392
		400
		411
		416
		418
		419
		420
		423
		424
		433
		438
		442
		443
		444
		445
		447
		448
		449
		451
		454
		455
		457
		461
		463
		468
		471
		472
		475
		476
		478
		479
		486
		487
		489
		497
		502
		504
		518
		519
		521
		525
		526
		534
		536
		539
		550
		560
		561
		562
		565
		566
		567
		570
		576
		586
		588
		589
		590
		595
		596
		598
		603
		607
		624
		637
		644
		648
		664
		665
		667
		671
		674
		676
		694
		698
		703
		704
		709
		712
		716
		724
		735
		736
		739
		740
		741
		743
		747
		758
		780
		783
		786
		789
		815
		828
		838
		843
		848
		867
		892
		917
		926
		951
		956
		972
		973
		998
		999
		1016
		1032
		1041
		1078
		1142
		1165
		1178
		1222
		1249
		1259
		1262
		1288
		1296
		1332
		1376
		1406
		1410
		1418
		1448
		1455
		1499
		1547
		1575
		1619
		1623
		1848
		1925
		1930
		1959
		2017
		2116
		2151
		2488
		2499
		3187
		3207
		3228
		3257
		3278
		5196
		5251
		7879
		7974
		41360
	HOMER will now create background files for 5278 bp fragments
	To CANCEL and rerun with a differet "-size <#>", hit <CTRL+C> now!
		5
		4
		3
		2
		1
	Preparsing genome for 5278 bp fragments...(will probably take 1-5 min)
	preparse size set to 5278

	By default, using /home1/homer/.//data/genomes/mm10//mm10.tss for reference positions
	Output files will be placed in /home1/homer/.//data/genomes/mm10//preparsed//mm10.5278.* ...
	By default, HOMER will set the the preparsed Directory to be group read/write
chmod: changing permissions of ‘/home1/homer/.//data/genomes/mm10//preparsed/’: Operation not permitted
	Extracting sequences
	Custom genome sequence directory: /home1/homer/.//data/genomes/mm10//

	Extracting sequences from directory: /home1/homer/.//data/genomes/mm10//
	Extracting 15520 sequences from chr1
	Extracting 18562 sequences from chr2
	Extracting 12668 sequences from chr3
	Extracting 14135 sequences from chr4
	Extracting 14476 sequences from chr5
	Extracting 13782 sequences from chr6
	Extracting 17035 sequences from chr7
	Extracting 10664 sequences from chr8
	Extracting 12882 sequences from chr9
	Extracting 11836 sequences from chr10
	Extracting 13885 sequences from chr11
	Extracting 8828 sequences from chr12
	Extracting 10299 sequences from chr13
	Extracting 9471 sequences from chr14
	Extracting 8712 sequences from chr15
	Extracting 8201 sequences from chr16
	Extracting 9748 sequences from chr17
	Extracting 7082 sequences from chr18
	Extracting 6759 sequences from chr19
	Extracting 13396 sequences from chrX
	Extracting 2145 sequences from chrY
	Extracting 19 sequences from chr1_GL456211_random
	Extracting 34 sequences from chr1_GL456221_random
	Extracting 13 sequences from chr4_GL456216_random
	Extracting 53 sequences from chr4_GL456350_random
	Extracting 10 sequences from chr4_JH584292_random
	Extracting 35 sequences from chr4_JH584293_random
	Extracting 35 sequences from chr4_JH584294_random
	Extracting 39 sequences from chr5_GL456354_random
	Extracting 19 sequences from chr5_JH584296_random
	Extracting 19 sequences from chr5_JH584297_random
	Extracting 37 sequences from chr5_JH584298_random
	Extracting 83 sequences from chr5_JH584299_random
	Extracting 32 sequences from chr7_GL456219_random
	Extracting 19 sequences from chrUn_JH584304
	Extracting 60 sequences from chrX_GL456233_random
		623 of 240566 removed because they had >70.00% Ns (i.e. masked repeats)

	Sequences processed:
		Auto detected maximum sequence length of 5279 bp
		100000
		200000
		239943 total

	Frequency Bins: 0.01 0.02 0.03 0.04 0.05 0.06 0.08 0.1 0.12 0.14 0.16
	Freq	Bin	Count
	0.01	0	141957
	0.02	1	80065
	0.03	2	11826
	0.04	3	4143
	0.05	4	1329
	0.06	5	439
	0.08	6	181
	0.1	7	3
	Frequency Bins: 0.2 0.25 0.3 0.35 0.4 0.45 0.5 0.6 0.7 0.8
	Freq	Bin	Count
	0.25	1	1
	0.3	2	31
	0.35	3	4884
	0.4	4	53992
	0.45	5	94394
	0.5	6	61844
	0.6	7	24611
	0.7	8	186

	Custom genome sequence directory: /home1/homer/.//data/genomes/mm10//

	Extracting sequences from directory: /home1/homer/.//data/genomes/mm10//
	Extracting 41 sequences from chr1
	Extracting 56 sequences from chr2
	Extracting 32 sequences from chr3
	Extracting 52 sequences from chr4
	Extracting 58 sequences from chr5
	Extracting 31 sequences from chr6
	Extracting 38 sequences from chr7
	Extracting 26 sequences from chr8
	Extracting 26 sequences from chr9
	Extracting 41 sequences from chr10
	Extracting 52 sequences from chr11
	Extracting 16 sequences from chr12
	Extracting 33 sequences from chr13
	Extracting 22 sequences from chr14
	Extracting 34 sequences from chr15
	Extracting 65 sequences from chr16
	Extracting 132 sequences from chr17
	Extracting 37 sequences from chr18
	Extracting 41 sequences from chr19
	!!Could not open file for 97746910 (.fa or .fa.masked)


	Reading input files...
	833 total sequences read
	1 motifs loaded
	Finding instances of 1 motif(s)
	|0%                                    50%                                  100%|
	=================================================================================
	Cleaning up tmp files...

