Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
EPI_E6.5_Tfap2c_rep1.R1_cut	33.02645527688571	43.0	140.63602350971829	9.090909090909092	47908358.0	
EPI_E6.5_Tfap2c_rep1.R2_cut	32.213097971821895	43.0	140.53374025050076	9.090909090909092	47908358.0	
EPI_E6.5_Tfap2c_rep2.R1_cut	29.78687296766965	43.0	141.31695922590598	9.090909090909092	47694671.0	
EPI_E6.5_Tfap2c_rep2.R2						14.659516821555862
EPI_E6.5_Tfap2c_rep2.R2_cut	29.517677425798226	43.0	141.21366475093203	9.090909090909092	47694671.0	
EPI_E6.5_Tfap2c_rep3.R1_cut	27.584518649883606	43.0	141.1855035954258	9.090909090909092	43805938.0	
EPI_E6.5_Tfap2c_rep3.R2_cut	27.657561921664495	43.0	141.07841788480823	9.090909090909092	43805938.0	
EXE_E6.5_Tead4_rep1.R1_cut	37.40763101202999	43.0	142.95294372919335	9.090909090909092	48640106.0	
EXE_E6.5_Tead4_rep1.R2_cut	36.42812205773078	43.0	142.82362170427837	9.090909090909092	48640106.0	
EXE_E6.5_Tead4_rep2.R1_cut	39.37979960048167	43.0	142.20098715418558	9.090909090909092	53629920.0	
EXE_E6.5_Tead4_rep2.R2						15.36173737069769
EXE_E6.5_Tead4_rep2.R2_cut	38.46137636209562	43.0	142.10607608588637	9.090909090909092	53629920.0	
EXE_E6.5_Tfap2c_rep1.R1_cut	22.8338435856207	44.0	140.9563626186801	9.090909090909092	38790412.0	
EXE_E6.5_Tfap2c_rep1.R2_cut	22.005006892354928	45.0	140.79182347947219	9.090909090909092	38790412.0	
EXE_E6.5_Tfap2c_rep2.R1_cut	21.53262663132304	44.0	141.80023276233447	9.090909090909092	36248992.0	
EXE_E6.5_Tfap2c_rep2.R2_cut	20.978062742253485	44.0	141.7130263649814	9.090909090909092	36248992.0	
EXE_E6.5_Tfap2c_rep3.R1_cut	27.429368084113946	45.0	141.76341843078836	9.090909090909092	51984320.0	
EXE_E6.5_Tfap2c_rep3.R2_cut	27.015587611769732	45.0	141.66103675108187	9.090909090909092	51984320.0	
