Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3214482	3671498	2.489820	0.215870	0.736698
Rp1	Rp1	chr1	-	4119866	4409241	1.224599	0.332424	1.134463
Sox17	Sox17	chr1	-	4490928	4497354	1.485825	0.129582	0.442224
Mrpl15	Mrpl15	chr1	-	4773200	4785726	22.855272	2.452012	8.367966
Lypla1	Lypla1	chr1	+	4807823	4846735	307.765045	26.763214	91.334648
Tcea1	Tcea1	chr1	+	4857694	4897909	408.291107	156.727936	534.864441
Rgs20	Rgs20	chr1	-	4909576	5070285	7.674183	0.786846	2.685266
Atp6v1h	Atp6v1h	chr1	+	5083086	5162549	197.346802	17.183538	58.642155
Oprk1	Oprk1	chr1	+	5588493	5606133	1.036104	0.089831	0.306567
Npbwr1	Npbwr1	chr1	-	5913707	5917398	0.325027	0.028180	0.096170
Rb1cc1	Rb1cc1	chr1	+	6214662	6276104	1542.512817	133.737442	456.404907
Alkal1	Alkal1	chr1	+	6359331	6394731	0.000000	0.000000	0.000000
St18	St18	chr1	+	6487231	6860940	3.632592	0.721227	2.461328
Pcmtd1	Pcmtd1	chr1	+	7088920	7173628	134.535645	11.664378	39.806950
Sntg1	Sntg1	chr1	-	8359739	9299877	0.123795	0.010733	0.036629
Rrs1	Rrs1	chr1	+	9545408	9547455	742.672424	64.390465	219.744919
Adhfe1	Adhfe1	chr1	+	9547948	9577970	13.117415	1.204586	4.110881
2610203C22Rik	2610203C22Rik	chr1	-	9560833	9631092	26.428589	2.291386	7.819798
Vxn	Vxn	chr1	+	9601267	9627142	0.232821	0.020186	0.068888
Mybl1	Mybl1	chr1	-	9667411	9700209	477.188995	42.174782	143.929611
Vcpip1	Vcpip1	chr1	-	9718622	9748382	139.168808	12.066078	41.177826
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	5.207384	0.451486	1.540782
Sgk3	Sgk3	chr1	+	9798130	9902568	16.078558	5.773961	19.704760
