chr	start	end	8Cell_siTfap2c_Tead4_ds
chr7	3104635	3105078	15.226926797130576
chr7	3169952	3170593	37.37048623714358
chr7	3192217	3192465	27.715924847510554
chr7	3243959	3244506	19.94395571783648
chr7	3250792	3251257	23.697266740696403
chr7	3251686	3252070	20.811414768298466
chr7	3261373	3262091	29.37482103597487
chr7	3282753	3283140	25.22061433718186
chr7	3328099	3328886	20.3089781049852
chr7	3413747	3414148	20.027564438798482
chr7	3484887	3485197	31.95311714295418
chr7	3485757	3486143	30.738924767686914
chr7	3572588	3572953	19.73478735048477
chr7	3581546	3581818	25.054683131330155
chr7	3585069	3585398	37.37453322714948
chr7	3644725	3645351	26.15253325392263
chr7	3693323	3693882	29.342437017369143
chr7	3917197	3917468	26.93042244506498
chr7	3917765	3918039	15.052324796245045
chr7	4065630	4065902	17.720273680546704
chr7	4136579	4137315	25.179092180469762
chr7	4171470	4171835	41.44540533300948
chr7	4445364	4445697	58.64972749200311
chr7	4452864	4453273	31.595211290205604
chr7	4453614	4454743	37.851009694953426
chr7	4501762	4502200	30.71139631314909
chr7	4513028	4513315	23.10215015943042
chr7	4526868	4527126	14.269798245540885
chr7	4667756	4668410	19.37248277372541
chr7	4677745	4678111	20.858458526798938
chr7	4752138	4752554	16.253691524267197
chr7	4950334	4950584	16.155992797851564
chr7	4996216	4996614	18.028801153652633
chr7	5014313	5014678	22.528981326377554
chr7	5019142	5019546	27.7559237905068
chr7	5038103	5038422	20.687709572173212
chr7	5061374	5061957	19.41693813723111
chr7	6203888	6204230	26.10913208074737
chr7	6362795	6363265	34.762598179756324
chr7	6379098	6379649	26.84680095817995
chr7	6532001	6532256	15.098696985431745
chr7	6727906	6728277	22.317036734115725
chr7	6729082	6729393	14.472438412080624
chr7	6937524	6937813	35.075999718636375
chr7	6941120	6941435	43.09634136018299
chr7	7034546	7034906	19.47547652191586
chr7	7040204	7041231	26.82123110473098
chr7	7041504	7041878	32.869031054450865
chr7	7298488	7298739	18.1742647273607
chr7	11716271	11716755	18.92292059748626
chr7	12478358	12478651	8.975164802408056
chr7	12912887	12913138	24.05243745933016
chr7	12921678	12921983	24.522984570362528
chr7	12977829	12978113	22.531014099927017
chr7	13014060	13014319	63.67584917812274
chr7	13023333	13024410	27.48584194767774
chr7	13034415	13034719	25.972267828489606
chr7	13041052	13041832	27.6471678348688
chr7	13103057	13103973	25.62242131254038
chr7	13149856	13151173	39.158210506019216
chr7	14393828	14394161	20.47790168785118
chr7	14623754	14624059	14.36189453250072
chr7	15894253	15894863	32.75675317107654
chr7	15901157	15901403	34.10803815019809
chr7	15945789	15946055	25.27092070328562
chr7	15952453	15953416	27.078279506132734
chr7	16031452	16031830	26.080754835138876
chr7	16098115	16098552	23.51408196368534
chr7	16119894	16120642	28.868444668417947
chr7	16222131	16222515	23.214541239043076
chr7	16273471	16273913	17.484337012692276
chr7	16285520	16286757	28.854282866395472
chr7	16364747	16365809	36.073135695664
chr7	16400009	16400407	19.387807568114006
chr7	16474368	16474669	15.39983615685143
chr7	16507512	16507881	15.69301115465035
chr7	16597988	16598428	24.939451425725764
chr7	16660477	16660787	16.2226031180351
chr7	16779968	16780374	19.011023110356824
chr7	16781010	16781418	21.328636057236615
chr7	16874427	16875263	17.472446303618582
chr7	16891787	16892164	23.968175470670907
chr7	17027941	17028431	13.59438678293812
chr7	17238016	17238286	16.701716659687182
chr7	18728652	18729006	22.19839035993242
chr7	18811717	18812227	12.479739924973133
chr7	18838841	18839300	18.426533755134134
chr7	19020118	19020506	26.75034189224243
chr7	19093970	19094383	17.198343397052756
chr7	19149390	19149753	36.236773682691506
chr7	19228049	19229074	33.49516845889208
chr7	19308339	19308980	18.247528105927703
chr7	19320246	19320503	13.021893790723748
chr7	19345055	19345401	42.97515482709587
chr7	19421172	19421646	12.077163569534882
chr7	19460930	19461421	16.617251163101972
chr7	19528171	19529093	18.773567529665932
chr7	19568939	19570097	41.11512709075717
chr7	19609833	19610352	37.55673868624002
chr7	19628545	19629385	26.753147681554157
chr7	19642227	19642665	18.891073769086027
chr7	19669155	19670127	31.02901555481271
chr7	19686428	19687023	48.81037269079385
chr7	19691627	19691883	31.12960433959961
chr7	19713180	19713512	31.898709354630437
chr7	19715517	19716169	35.13158432837644
chr7	19789954	19790220	15.456920634535022
chr7	19829487	19829798	23.401531010961993
chr7	24073999	24074612	31.27378272699104
chr7	24081907	24082247	15.280697730008294
chr7	24326974	24327343	23.00466649125262
chr7	24459687	24460127	21.557122204520486
chr7	24467634	24467969	17.88762572843637
chr7	24488153	24488543	46.40414113264818
chr7	24488804	24489080	18.854959377344105
chr7	24506657	24506965	21.95648849165285
chr7	24530626	24531337	23.70120913670536
chr7	24586819	24587273	12.952273856175628
chr7	24599513	24600182	18.973208124505742
chr7	24614084	24614843	26.631254486415695
chr7	24771158	24771488	23.02077371712887
chr7	24800238	24800516	27.21938813161507
chr7	24946171	24946829	25.14818876637514
chr7	24965340	24965720	30.57295406492133
chr7	25118010	25118340	13.965684630654074
chr7	25128581	25128897	15.44195457953441
chr7	25155409	25155919	15.537980347053677
chr7	25166417	25167005	18.667610470129517
chr7	25195521	25196069	25.15019504867331
chr7	25208560	25208807	15.03921706859882
chr7	25237896	25238763	27.78665338008049
