Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
8Cell_Klf5_rep1.R1	53.422290142448034	50.0	150.0	45.45454545454545	54842173.0
8Cell_Klf5_rep1.R2	51.25685656891847	55.0	150.0	45.45454545454545	54842173.0
8Cell_Klf5_rep2.R1	53.2052211117349	47.0	150.0	36.36363636363637	52826631.0
8Cell_Klf5_rep2.R2	52.615641511900364	52.0	150.0	45.45454545454545	52826631.0
Morula_Klf5_rep1.R1	29.101140792772753	49.0	150.0	27.27272727272727	50720801.0
Morula_Klf5_rep1.R2	28.063893210044	53.0	150.0	36.36363636363637	50720801.0
Morula_Klf5_rep2.R1	33.48601401322104	49.0	150.0	27.27272727272727	51676334.0
Morula_Klf5_rep2.R2	32.47598094468157	53.0	150.0	36.36363636363637	51676334.0
Morula_Klf5_rep3.R1	37.87762604310871	49.0	150.0	27.27272727272727	51134075.0
Morula_Klf5_rep3.R2	36.432145662147406	53.0	150.0	36.36363636363637	51134075.0
