chr	start	end	8Cell_Tead4	8Cell_Tfap2c	EPI_E65_Tfap2c	EXE_E65_Tead4	EXE_E65_Tfap2c	ICM_Tfap2c_rep1	Morula_Tead4	Morula_Tfap2c	TE_Tead4	TE_Tfap2c
chr8	3475497	3476586	3.3283980866437446	8.946696493360731	5.509211186863502	4.857770112810932	12.75418346096771	7.031798840006958	4.582247269383475	8.212031170575306	3.888856394341279	8.316662510783438
chr8	3495305	3496310	3.4379283249081665	5.48628593677312	2.7954885170827457	4.136644159383442	7.448936197888199	4.213758549286951	5.428839505015321	5.2893158022444045	3.164904651950248	4.046495333832888
chr8	3793237	3794238	4.366088352003298	4.284286574169354	1.6803976771952984	1.4642038363200445	1.6195728328975882	1.745433573956256	4.478056174534541	4.51893721308027	1.8456393841144207	1.832380647425885
chr8	4166806	4168222	3.543366710050295	6.060345615432025	2.9251223444194263	2.589082067716593	7.530370515079822	7.692376184261452	2.29895351877657	5.851931818828377	2.5391128387323207	3.989944209907688
chr8	4193776	4194826	3.0252956519808087	5.4317085066295805	2.9552570669423965	2.066569915839604	4.39432202112107	4.1979819166092645	2.1553253865242006	5.002128861972264	2.5951122685841153	5.609691357839675
chr8	4193776	4194826	3.0252956519808087	5.4317085066295805	2.9552570669423965	2.066569915839604	4.39432202112107	4.1979819166092645	2.1553253865242006	5.002128861972264	2.5951122685841153	5.609691357839675
chr8	4205580	4207292	3.2611173280377255	6.806543082834404	5.246938190610317	3.6914236712430992	7.83556248495512	4.6478674910335895	5.275421759885419	6.8171220777798425	2.008842340000322	4.082005169672891
chr8	4205605	4207411	3.2285787735745757	6.529328200604204	5.151416005708611	3.6706884266574167	7.6374060731129525	4.392131066137506	5.061198309014406	6.546297583949178	1.9675072242783285	4.043193953676761
chr8	4216156	4217597	2.0162039904194025	8.885979224331303	7.417719584881308	4.272907004061142	9.596117278687414	6.547372728648242	4.348022197080436	8.144190108104501	1.708055706590021	8.006215059947504
chr8	4602100	4603349	20.40643841672459	9.756725501785095	2.6500626581266045	3.827604243715254	3.163218933692257	6.392130673074837	14.641670309514213	9.720920942610412	8.237862823580246	7.207224305674398
chr8	4602100	4603349	20.40643841672459	9.756725501785095	2.6500626581266045	3.827604243715254	3.163218933692257	6.392130673074837	14.641670309514213	9.720920942610412	8.237862823580246	7.207224305674398
chr8	5356987	5358687	4.123673388671875	1.7968135894938586	2.245246513532042	3.782619515612234	1.4492949860516717	1.1501038284862743	3.4155961062861424	1.6641077332828134	2.5502394122235916	1.3932099063547283
chr8	5639534	5640884	2.117373478677538	4.247880317392172	2.8425891309593156	5.825480661215606	1.068214610417684	1.663979450861613	1.171462911411568	1.490755724840694	1.1548369654902706	1.6089697427219816
chr8	5639580	5640641	2.1658347920355765	4.031104871032375	2.9845923217931634	5.518170077659183	1.115375286250829	2.117221732953042	1.3360428939328566	1.3543507895247202	0.46849155920390023	1.6515363824468643
chr8	5639584	5640615	2.188301585694173	3.999275098225078	2.978858015817074	5.5266285483751565	1.1252052907973789	2.178828572903179	1.334552644989539	1.3199585353310657	0.3888630885504381	1.6903116797845879
chr8	5639610	5640616	2.1949423293233155	4.061565314177017	2.9660606898559965	5.553671260003304	1.1399562311160636	2.2329744121900372	1.356113835665625	1.319800358613727	0.3575647062146166	1.6764362846643739
chr8	8659761	8661133	7.425611024695304	7.384698356900897	5.2511763541230545	9.073472729577267	11.990290655130545	6.763857429646195	7.415832703384644	8.175291035335196	4.942611483981936	10.256619130557201
chr8	8659761	8661133	7.425611024695304	7.384698356900897	5.2511763541230545	9.073472729577267	11.990290655130545	6.763857429646195	7.415832703384644	8.175291035335196	4.942611483981936	10.256619130557201
chr8	8710735	8712053	8.106237268683039	7.3780677646896	3.6877581764929843	3.8502289490924078	5.514484234464006	3.3317456263511787	8.156343516702899	6.476691379713542	3.725146028358766	3.5742233598178
chr8	8710778	8712005	8.148857570704932	7.5022015294702245	3.737243902697064	3.9123110846960167	5.324631144967425	3.256082717052979	8.091990480407429	6.569598644656094	3.65368354184509	3.6077861069855692
chr8	9207565	9208574	3.191346106609575	2.700276907891537	2.212948849758851	1.7688208062892155	2.424211677462896	2.002052654005491	2.599033412127594	2.196585475984957	1.8692927033270315	1.8688267393792704
chr8	9769726	9771076	2.678629121294728	6.459863298027604	4.348070863720037	2.5932830359759156	3.7669131124990956	3.2010041318116365	2.235778363192523	4.912562503461484	2.8641989970207216	1.8942615365982056
chr8	9770100	9772890	1.8354401487945229	6.44100477629432	4.469131919056307	2.303045091891089	4.463529956298062	1.82799237346991	1.4536347053099419	5.613673319339596	2.0604107797462614	1.8642291758795204
chr8	9771306	9772885	1.1858695210196535	6.866341703275344	4.469923066010511	2.1299779902570863	4.897928718436437	1.4995842623212354	1.3307519292237515	5.827993769933676	1.6251080103355393	1.9471602549350586
chr8	10006008	10007296	3.41777650711144	4.319082627292746	3.2351562472565107	1.9982864249104297	2.595619741878154	1.4159332980280337	2.736266964155695	2.997665221183937	2.1395762614581897	2.8853027421680295
chr8	10006031	10007534	4.054408495099404	5.11028064277163	3.3695633615036322	2.5444438289942104	3.3884870827396316	1.5045567729515943	3.440624256730476	3.9803389455405	1.8906345746553666	2.838240968094456
chr8	10153218	10155388	1.7452749971310664	3.4790662900543534	2.6762696833567743	2.694367306773258	3.414117911158619	2.7129766132425055	2.450788108544415	2.404799885424201	2.4385037637829083	2.2588053688796927
chr8	11007305	11008562	7.347100128184829	8.846148450339514	4.724477474291072	7.1486424853048725	12.482148297551898	9.161810770239637	10.395746618106237	9.31807636503388	4.7951540321040556	10.16539347807187
chr8	11312057	11313218	5.567013970333169	16.253694166714112	7.722118203132754	6.227133134846848	16.77753174089338	15.610724153855461	7.166667593644673	18.190256649414902	2.6864071415992363	15.632182421096946
chr8	11313562	11314791	5.989059853495574	14.612886563464818	5.511103434479164	4.453273791089303	9.382115855073424	11.076498240353715	6.462480766197062	13.558585139771997	2.416223849582905	11.530799763972823
chr8	11467242	11468419	7.629492565039973	8.39097913079274	2.017960903699254	3.5597905975433357	3.3825314581748684	8.941939644015433	9.682376737602707	8.88831327117492	5.508386515720273	7.487038148087572
chr8	11725780	11727761	4.471725843911939	5.2895116959644	3.7325152218248396	3.908452484543375	5.735452819315849	5.104492889637299	5.511281918701089	5.468636077955084	3.4934663168163755	4.846558705865688
chr8	11727371	11728799	1.7931978909575306	3.513260007177809	3.069002580452893	3.249389896372787	6.928123944279861	3.1508400914381864	1.9309720671644397	4.181112521593887	0.8753289752313737	3.058924647105508
chr8	12384616	12386484	2.05977001655791	6.361320968451192	24.41493597410046	3.3936327385840004	7.158639141221628	3.5649086890435067	3.0203453484473273	5.7221566817165	3.0607031713971744	4.409991657164143
chr8	12395300	12397686	3.207191003254253	9.751105707574524	27.777287462052488	2.554623556336933	9.203402753447847	7.6999167108975435	3.1706441022324543	9.946722343855857	2.6037723658026084	7.566966129236554
chr8	12395758	12397696	3.1377853689597246	10.588573715277244	25.93821024354708	2.5003269018403516	9.823809379837462	8.367979933233823	3.2453897290513574	10.385473168134489	2.6892668685133883	8.07580480184302
chr8	12400953	12402086	3.1143611319172413	7.540980450789274	23.494611187940766	2.7121539645666375	5.541835737144221	4.306078449983252	3.2449886543184703	6.109140287535651	2.6641427915073135	4.4602890950015235
chr8	12400953	12402086	3.1143611319172413	7.540980450789274	23.494611187940766	2.7121539645666375	5.541835737144221	4.306078449983252	3.2449886543184703	6.109140287535651	2.6641427915073135	4.4602890950015235
chr8	12430375	12431688	2.6547055487313167	5.4177728805120715	7.523652009936847	3.953906197813024	6.500692743503312	3.913457140156266	3.791231456914206	4.933766502146492	1.988338079147455	3.2188924548286386
chr8	12445827	12447028	5.915102750881824	5.486445651934804	4.232934008579667	2.386952548598767	2.735421362764929	3.0051370786687515	5.247750185461068	5.53162115003346	1.157290509995771	3.0315722140741785
chr8	12467062	12468337	4.033158659748002	7.4890431628507725	2.8860103837870468	2.2631132334821364	2.881722501633214	3.049976293900434	4.661743694941203	7.134219121558994	2.0287447242175833	6.472526446791256
