chr	start	end	Morula_Tfap2c
chr7	3106587	3107041	10.398692506000334
chr7	3168373	3169045	16.718738369998476
chr7	3184428	3184793	14.013877555115583
chr7	3193915	3194381	17.227656036999093
chr7	3222214	3222466	20.0638180687314
chr7	3227026	3227502	18.89612696751827
chr7	3233118	3233537	22.078150350893882
chr7	3234963	3235206	24.850232842527788
chr7	3249740	3250002	8.636543867242246
chr7	3250515	3251541	9.65724094104581
chr7	3255316	3255593	9.286529919731057
chr7	3261545	3261976	9.176879617288328
chr7	3263955	3264331	9.953914500297383
chr7	3266987	3267328	11.339968861722527
chr7	3275210	3275551	9.116795792957205
chr7	3282307	3283726	16.708994206356373
chr7	3289064	3289530	21.982279388689687
chr7	3302452	3303721	24.92457914089386
chr7	3327340	3329000	12.330904786192443
chr7	3336367	3336790	13.85978955298169
chr7	3366602	3367405	18.477400744094943
chr7	3376781	3377020	12.677606977678243
chr7	3399484	3399711	13.17865092743861
chr7	3411288	3411547	12.53685794741951
chr7	3412152	3412466	13.387725969788375
chr7	3413946	3414377	14.012294065648055
chr7	3486326	3486646	10.879985511302948
chr7	3496751	3497008	11.140511776222793
chr7	3498302	3498606	14.820084054219095
chr7	3572483	3572978	32.15819837782118
chr7	3573339	3573757	34.094917895120865
chr7	3590641	3590868	10.833834597717823
chr7	3613039	3613877	17.01885860119913
chr7	3629641	3629945	17.471113509253453
chr7	3644414	3645351	20.912878517407364
chr7	3657461	3657710	11.512443492690243
chr7	3665096	3665937	15.157377267705984
chr7	3692645	3694154	19.430689191378715
chr7	3699840	3700345	12.769049313989017
chr7	4090908	4091640	9.79912710482957
chr7	4103655	4103969	8.798058347337564
chr7	4124283	4124980	16.316374661077557
chr7	4125367	4125902	13.717279760414195
chr7	4135178	4135516	14.356789845686693
chr7	4136521	4137451	20.66157025573074
chr7	4149966	4150214	14.166762098189324
chr7	4150554	4150861	11.341847817361938
chr7	4164312	4164942	15.878745071471684
chr7	4170457	4170755	11.301385041051264
chr7	4297045	4297307	10.552217341561354
chr7	4341634	4342553	16.796452681050596
chr7	4445326	4445681	26.167571108106156
chr7	4452548	4453255	15.51538993074668
chr7	4453954	4454789	15.656696279605706
chr7	4460702	4461168	10.626007668450155
chr7	4464350	4464658	16.31499272817141
chr7	4478298	4478798	12.918376737594604
chr7	4479662	4480102	12.984782282872633
chr7	4484035	4484324	14.633984687831575
chr7	4501741	4502265	58.354310366943594
chr7	4509837	4510399	16.213848487338137
chr7	4512988	4513737	23.91079953452137
chr7	4521628	4521928	14.43365584373474
chr7	4524131	4524708	11.691669716165633
chr7	4556583	4557181	11.380893472843745
chr7	4602562	4603186	9.261098629389053
chr7	4604477	4604810	10.12927010682252
chr7	4619983	4620382	9.579570498980376
chr7	4658716	4659445	17.90788780024022
chr7	4671123	4671475	15.664794301444834
chr7	4671854	4672391	19.554246898469977
chr7	4675381	4675847	17.402902107893652
chr7	4684616	4685123	16.664037856829943
chr7	4739578	4740073	17.391678232135195
chr7	4751932	4753046	25.384719521609842
chr7	4776112	4777628	18.877622171110545
chr7	4793000	4793330	16.843451499938965
chr7	4806696	4807457	17.571768555158698
chr7	4812406	4813128	22.106981968285304
chr7	4820733	4821314	16.802197037793682
chr7	4822312	4823740	15.236561881333234
chr7	4835894	4836854	16.140553292632102
chr7	4842495	4843712	20.402175745027616
chr7	4844105	4844469	17.25215130323892
chr7	4850555	4851612	14.415986453573323
chr7	4864349	4864981	12.101250949539716
chr7	4865982	4866535	13.549137348292318
chr7	4876677	4877401	12.726661443710327
chr7	4877969	4878268	9.231256689116309
chr7	4887056	4887348	10.490097945683623
chr7	4890623	4891231	10.480721513691702
chr7	4901097	4901345	13.471500704365392
chr7	4914994	4915433	21.238488260325646
chr7	4919195	4919678	17.733436404794887
chr7	4920145	4920826	16.562366701257737
chr7	4940219	4940585	11.078434198931918
chr7	4948567	4948948	8.963071876936384
chr7	4950334	4950767	11.659933966797439
chr7	4976773	4976998	9.796170399983724
chr7	4995047	4996417	17.241679026610658
chr7	5014075	5015748	25.443694018659492
chr7	5019919	5020319	21.489021830558777
chr7	5029804	5030526	16.152152663783024
chr7	5031114	5031995	26.247917458905533
chr7	5037823	5038751	26.862314502740727
chr7	5051490	5051716	13.365159587522523
chr7	5053567	5053938	13.712903179569707
chr7	5060590	5062701	23.85481686701141
chr7	5093614	5093994	11.417944526672363
chr7	5103989	5104283	9.718291415649206
chr7	5117297	5118769	18.387136977651846
chr7	5123719	5123977	15.958065395207369
chr7	5124545	5124946	14.539229402518332
chr7	5125674	5125973	13.88072375230566
chr7	6044837	6045433	9.356521147009511
chr7	6145442	6145902	8.795609916811404
chr7	6146229	6146589	8.754890395535362
chr7	6155626	6156718	22.13316986761687
chr7	6171812	6172341	14.530692217706056
chr7	6183667	6184036	10.463385423024496
chr7	6189468	6189771	9.929557049628531
chr7	6210244	6210607	10.991141526823858
chr7	6213157	6213474	9.659499485033919
chr7	6222176	6222551	11.986238705952962
chr7	6258355	6258851	10.815777738248148
chr7	6283471	6283926	20.00145706134838
chr7	6286188	6286673	19.199634461550367
chr7	6287259	6288550	18.189686690255897
chr7	6300435	6300835	10.885453522205353
chr7	6330869	6331559	8.629184467896172
chr7	6343733	6344105	14.948331826476641
chr7	6362213	6363253	23.412341542427356
chr7	6382800	6383623	24.788060082844655
chr7	6398754	6399092	9.150216712048774
chr7	6418396	6418917	10.78985086375143
chr7	6631662	6632065	9.423870098502109
chr7	6695747	6696829	16.44386132697742
chr7	6727640	6728275	10.259352909298393
chr7	6729180	6729480	10.872350263595582
chr7	6770835	6771076	9.811994738598582
chr7	6793679	6794294	11.782530218605103
chr7	6824794	6825088	9.102142664850975
chr7	6861975	6862569	8.181686600450714
chr7	6880210	6880600	7.942715235245534
chr7	6910053	6910627	12.16260360840721
chr7	6911792	6912022	12.920272441532301
chr7	6955574	6955800	10.776753775841367
chr7	7107947	7108794	24.511363924605224
chr7	7109343	7109586	12.480419963475608
chr7	7121040	7121532	13.777545518022242
chr7	7127278	7127719	10.238270571442689
chr7	7171296	7171856	13.049437028169631
chr7	7277649	7278168	19.568657578301107
chr7	7298290	7299471	10.129317715448611
chr7	12006586	12006858	17.558113294489242
chr7	12009804	12010187	22.372682628681392
chr7	12018814	12019062	10.80593615962613
chr7	12326278	12326701	15.614033786963065
chr7	12395314	12396789	14.476177445751125
chr7	12478313	12478705	9.306337901524135
chr7	12490204	12490573	10.524887997283521
chr7	12780107	12780728	15.997589936003017
chr7	12818203	12818838	11.532367378895676
chr7	12834731	12835134	14.071293641556581
chr7	12880812	12881198	12.848189494770425
chr7	12897591	12898163	12.094703040756546
chr7	12903552	12904231	15.025863433621593
chr7	12909258	12910578	14.58689216266979
chr7	12921763	12922192	19.16421638168655
chr7	12926919	12927750	16.596452172482486
chr7	12935496	12935929	10.703118537920451
chr7	12949496	12950062	13.431564812946657
chr7	12959281	12959639	8.839873202020229
chr7	12965541	12966307	17.633864791212755
chr7	12977836	12978143	26.369544846227193
chr7	12979995	12980398	10.945580061257033
chr7	13009162	13009728	21.83671055075979
chr7	13012369	13013169	27.592726082801818
chr7	13013564	13014304	30.184194428211935
chr7	13023334	13024646	30.954252638467928
chr7	13034280	13034679	21.54551638935443
chr7	13038009	13038654	25.398175489440444
chr7	13044238	13044625	16.271035618252224
chr7	13054145	13054950	16.020792724182886
chr7	13056986	13057275	12.327251704918885
chr7	13063653	13064104	10.987941080080697
chr7	13103656	13103899	11.021092681727783
chr7	13150586	13150820	7.468392624814286
chr7	13154320	13154976	11.179677152052157
chr7	13278271	13279064	17.618411550305378
chr7	13297329	13297689	9.738001147905985
chr7	13432890	13433899	12.7021482026258
chr7	14114296	14114792	11.042361680538423
chr7	14116622	14117229	13.830186325400037
chr7	14120167	14120912	9.6356292103761
chr7	14327229	14327475	10.629880909028092
chr7	14594964	14595276	9.447365323702494
chr7	14623236	14624379	11.908315025289541
chr7	15751168	15751696	9.040472469546579
chr7	15757202	15757445	8.865132373056294
chr7	15835581	15836361	13.431467322814159
chr7	15858173	15858419	20.446755680611464
chr7	15859976	15860263	22.473048399549743
chr7	15882168	15883200	25.82973667725112
chr7	15894157	15894706	22.461383508637088
chr7	15901256	15901810	14.942229632436153
chr7	15922331	15922922	25.10491830403026
chr7	15929989	15930681	16.723280905299102
chr7	15945789	15946058	27.692900271220722
chr7	15948076	15948451	24.559767003377278
chr7	15952402	15952899	18.70727864693348
chr7	15953278	15953711	17.030036954901785
chr7	15955676	15956132	16.918875815575582
chr7	15961262	15961618	18.20063938183731
chr7	15962431	15962756	14.336104674706093
chr7	15976358	15976697	12.184204374442762
chr7	15977653	15978100	15.066938871771963
chr7	16010592	16011096	14.245221077449738
chr7	16011669	16012217	19.58019041318963
chr7	16025165	16025445	14.877487335886274
chr7	16031223	16031619	19.724727329581675
chr7	16048432	16048835	14.254039501729734
chr7	16052125	16052951	19.648900075917094
chr7	16061290	16062209	16.038000186716772
chr7	16097883	16098877	25.588551112583705
chr7	16104119	16104710	16.331870706755094
chr7	16112235	16112696	11.517306199559938
chr7	16119703	16120610	27.255287618857892
chr7	16129517	16130097	19.296061981135402
chr7	16150403	16150837	18.23009377910245
chr7	16156305	16156698	23.70045074676436
chr7	16158862	16159125	21.279017821917517
chr7	16175125	16175556	11.069425861686122
chr7	16175960	16176332	9.197740406118413
chr7	16198409	16199216	10.277199542507658
chr7	16221835	16222544	22.566976189445207
chr7	16272791	16274379	29.459470178924278
chr7	16285488	16286769	49.99387872712301
chr7	16294646	16295864	17.91869862874349
chr7	16308935	16309999	22.485017846401472
chr7	16313079	16314392	25.66728574777503
chr7	16340161	16340566	9.906486275755329
chr7	16340865	16341374	10.41816582145766
chr7	16365003	16365494	20.461378322842165
chr7	16387334	16387844	22.639179042741365
chr7	16399496	16401119	17.175084542221217
chr7	16416793	16417429	15.222414324118656
chr7	16474366	16475171	21.676414924526807
chr7	16488713	16488962	12.666080118661904
chr7	16490004	16490580	14.286685056156582
chr7	16507564	16507865	9.636067921141057
chr7	16515765	16516014	15.357395823222088
chr7	16569593	16569857	11.523366043061921
chr7	16579436	16579967	14.236697236472379
chr7	16601508	16602355	32.75421316649022
chr7	16611128	16611774	20.487536270921076
chr7	16614870	16615595	27.154684053618332
chr7	16623371	16623719	19.47959725610141
chr7	16627590	16628425	18.009637674171767
chr7	16638215	16638790	11.54537588202435
chr7	16645167	16645674	10.201795218729174
chr7	16657753	16658019	10.620549723618012
chr7	16658432	16658671	10.887171238536116
chr7	16660448	16661218	10.794615531277348
chr7	16712297	16713486	23.820194472977853
chr7	16729778	16730147	13.594289839106201
chr7	16743441	16744109	20.2485678110294
chr7	16746024	16746294	15.406538023772063
chr7	16755072	16756233	25.731273553373484
chr7	16779983	16780712	18.412044534303853
chr7	16780943	16781498	21.655717789589822
chr7	16794672	16795037	11.477903193643648
chr7	16808706	16808955	13.1665070660143
chr7	16809867	16810186	14.70202280660408
chr7	16846030	16846350	16.51358261704445
chr7	16852971	16853627	23.06858538127527
chr7	16853973	16854766	15.570870928626043
chr7	16874136	16875505	20.835604636315622
chr7	16884204	16885319	13.567175757403865
chr7	16891525	16892430	20.868654804335115
chr7	16913717	16914358	15.429836442801584
