chr	start	end	Morula_Tead4
chrM	90	4742	6627.782209943583
chrM	5782	6523	4927.974848902982
chrM	10935	16292	6531.444402857383
chrX	5436051	5436637	10.62961344019138
chrX	5927369	5928038	13.839954026967778
chrX	6962231	6962893	11.349736200718722
chrX	7170470	7170722	8.479035884614975
chrX	7197578	7198324	21.246328240105676
chrX	7225545	7225812	9.684959333041187
chrX	7319484	7320685	15.90510726074295
chrX	7375871	7376380	12.74217908555726
chrX	7637650	7638394	10.372374416679465
chrX	7658840	7659299	8.792820644794206
chrX	7674099	7675043	21.805650377677658
chrX	7679555	7679833	11.01419115752625
chrX	7697238	7697589	10.10150603758983
chrX	7721953	7722821	46.45334269044586
chrX	7723923	7724753	37.76904905158353
chrX	7765094	7765841	14.908702441806614
chrX	7789775	7790209	14.458846984371062
chrX	7805708	7806153	23.48682142536292
chrX	7806484	7806845	14.9546749585223
chrX	7839292	7839573	33.94514170066318
chrX	7841327	7841652	39.15814619797926
chrX	7877130	7877389	9.270818436007703
chrX	7878363	7878782	7.290795004168672
chrX	7883720	7884538	14.575137669416394
chrX	7899025	7899837	17.128628177008604
chrX	7912041	7913123	14.130725245819514
chrX	7918260	7918767	15.593382667977899
chrX	7922946	7923207	13.05001283879481
chrX	7948116	7948602	20.224056369483225
chrX	7966155	7966658	15.05345305865612
chrX	7980323	7981028	20.815338614984608
chrX	7990528	7990866	18.262198575149625
chrX	7992949	7993256	19.58053624591144
chrX	8051289	8051742	16.5715779763447
chrX	8097141	8097469	10.022228476477832
chrX	8117343	8117905	11.828589740597057
chrX	8132214	8133479	20.67807271980014
chrX	8155937	8156793	8.975512341918233
chrX	8175538	8176307	18.975412785464364
chrX	8197290	8197627	13.379600386237533
chrX	8206491	8207401	28.48043387591184
chrX	8209176	8209831	26.049246239116172
chrX	8210087	8210442	20.957555459250866
chrX	8225046	8225471	12.89492223739624
chrX	8238580	8239385	23.015527642291524
chrX	8252036	8252982	16.35695592999206
chrX	9236746	9237004	10.62869243843611
chrX	9479369	9480378	13.438814990702422
chrX	9612441	9612854	17.43924348752666
chrX	9662479	9662949	10.427115691976343
chrX	9753091	9753775	11.688852931323805
chrX	10216227	10216645	9.278870547217045
chrX	10473884	10474207	13.407982043806614
chrX	10717144	10717723	12.874169850390604
chrX	11999200	11999452	12.341918457122077
chrX	12005918	12006362	10.58389494440577
chrX	12006918	12007247	8.478428433368997
chrX	12077308	12077586	14.53223773901411
chrX	12090005	12090730	13.92390860853524
chrX	12134654	12134904	12.80608003616333
chrX	12140354	12140739	8.31299785886492
chrX	12158381	12158823	14.526709625623884
chrX	12260139	12260386	12.392435208988577
chrX	12260743	12260992	9.249750466710593
chrX	12270841	12271946	8.632203287452594
chrX	12308408	12309356	13.028291697743573
chrX	12347181	12347676	17.864147758483888
chrX	12347977	12348247	16.10948127110799
chrX	12494866	12495274	14.02310110657823
chrX	12530664	12531236	14.207382720667166
chrX	12560751	12561999	15.341499704963121
chrX	12574136	12574851	12.18648114637895
chrX	12587238	12587634	18.549316591686672
chrX	12601573	12602075	22.158578697903696
chrX	12610227	12611221	29.650365343036306
chrX	12611503	12612068	20.367812659677153
chrX	12622510	12623183	11.39348730396197
chrX	12650128	12650467	9.782370094704417
chrX	12651852	12652441	11.074393445648038
chrX	12673311	12673727	10.05672629750692
chrX	12729664	12730186	14.944036933197372
chrX	12761538	12761807	13.199625235064765
chrX	12762064	12762395	14.238534388585393
chrX	12812957	12814110	15.830373826072409
chrX	12839400	12840631	18.633195867778614
chrX	12919846	12920269	13.278642864092022
chrX	12920585	12920903	12.58619209505477
chrX	12930488	12931018	12.13100519540175
chrX	12936177	12937259	13.16819798263296
chrX	12942114	12943016	15.243436286296125
chrX	13041716	13042473	15.209908356282323
chrX	13071002	13071731	12.326999201205533
chrX	13159235	13159611	14.873704900132848
chrX	13199831	13200384	11.297896164450895
chrX	13200761	13201210	14.520651874669676
chrX	13204198	13204662	16.90392214881963
chrX	13206552	13206967	24.892377936121928
chrX	13207711	13208123	19.65828938160128
chrX	13213407	13214410	20.085777277009914
chrX	13219895	13220265	18.87475145185316
chrX	13230081	13231052	14.590923133520093
chrX	13256288	13257101	9.012624334438554
chrX	13262028	13262924	17.957950515406473
chrX	13280330	13280656	11.06142173515507
chrX	13347186	13347619	15.337354717298687
chrX	13386447	13387464	10.9765925430853
chrX	13461233	13462246	12.08059363774698
chrX	13474112	13474939	17.67959431206589
chrX	13480839	13481220	11.141762051369575
chrX	13504579	13505019	18.639166541533037
chrX	13846841	13847118	11.576161036852895
chrX	14647872	14648417	10.459845693395772
chrX	16565824	16566075	10.296250290129764
chrX	17001109	17001422	11.963516271914155
