seqnames	end	SYMBOL	start.x	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	GENENAME	zy	early2cell	mid2cell	late2cell	4cell	8cell	16cell	earlyblast	midblast	lateblast	start.y	GSM1386019_oocyte	GSM1386020_sperm	zygote	GSM1386021_2cell	GSM1386022_4cell
chr1	119520009	Tmem185b	119519874	136	*	Distal Intergenic	1	119526160	119528983	2824	1	226351	ENSMUST00000183952.1	-6151	ENSMUSG00000098923	transmembrane protein 185B	0.93805458924095	0.929645759624229	0.224685719793421	2.43109604339532	4.46726331222268	2.94497005354858	2.95002315803397	1.1602681942245	1.73575255373399	2.34015812096971	119519873	0.8636513158	0.9712772206	0.9174642682	0.2360959018	0.1702485686
chr1	135252228	Elf3	135252089	140	*	Intron (ENSMUST00000180981.1/ENSMUST00000180981.1, intron 1 of 2)	1	135256657	135257649	993	2	13710	ENSMUST00000188895.1	5421	ENSMUSG00000003051	E74-like factor 3	0.272441987402033	1.60558739816841	3.82569028698901	2.14477550950193	0.611084915525352	4.36629935834047	6.396959735541	7.35318134473901	8.59063579414375	8.32699440344394	135252088	0.6857963875	0.9488636364	0.81733001195	0.06060606061	0.04523809524
chr1	72214179	Mreg	72214009	171	*	Promoter (1-2kb)	1	72159442	72212307	52866	2	381269	ENSMUST00000048860.8	-1702	ENSMUSG00000039395	melanoregulin	0.227296695697198	0.237723655508223	1.95494490835102	2.58587084970233	3.24057409529062	4.20449908289368	3.91881997057704	5.21381536012942	4.76854783211028	4.56585019962699	72214008	0.6666666667	0.9387755102	0.80272108845	0.1891891892	0.07692307692
chr1	74203206	Mir1928	74203073	134	*	Distal Intergenic	1	74206554	74206620	67	2	100316687	ENSMUST00000157195.1	3414	ENSMUSG00000087820	microRNA 1928	0	0	0	0	0.216640606573231	0.0206049415149887	0	0.088517210891133	0.0463531971085897	0.366862411263263	74203072	0.766025641	0.9405553445	0.85329049275	0.2148814226	0.08113590264
chr1	74342954	Pnkd	74342807	148	*	Intron (ENSMUST00000027370.12/56695, intron 2 of 9)	1	74332610	74353686	21077	1	56695	ENSMUST00000087225.5	10197	ENSMUSG00000026179	paroxysmal nonkinesiogenic dyskinesia	1.7084337037994	1.17375961882665	1.08747474047116	0.746958298500795	0.788928352493816	1.55925960404691	1.46106714075683	2.81348965865194	2.6963919092527	2.70509924814287	74342806	0.7380043087	0.9659238495	0.8519640791	0.1921492921	0.1273027688
chr1	75165083	Zfand2b	75164936	148	*	Distal Intergenic	1	75168646	75170752	2107	1	68818	ENSMUST00000162768.7	-3563	ENSMUSG00000026197	zinc finger, AN1 type domain 2B	2.77457982573959	2.70821593649829	1.04835165159904	1.63981680792967	1.03100275936316	4.28473206515287	3.766107619447	2.34114496473284	3.42665718251136	2.39220997839434	75164935	1	0.8947368421	0.94736842105	0.15	0
chr1	88602864	Gm19589	88602735	130	*	Distal Intergenic	1	88551517	88562167	10651	1	100503197	ENSMUST00000189394.1	51218	ENSMUSG00000100798	predicted gene, 19589	0	0	0	0	0	0.0130133301867617	0	0	0	0	88602734	0.9130434783	0.8918918919	0.9024676851	0.1851851852	0.2553191489
chr10	121008245	Wif1	121008101	145	*	Distal Intergenic	10	121033960	121100650	66691	1	24117	ENSMUST00000020439.10	-25715	ENSMUSG00000020218	Wnt inhibitory factor 1	0.455410300871468	0.142571619762893	0	0.0154025995885297	0	0.131082622840039	0	0.00366528499219568	0	0	121008100	0.7644847413	0.9813873626	0.87293605195	0.2338006821	0.2701923077
chr10	53521203	Gm20597	53521057	147	*	Distal Intergenic	10	53498443	53518989	20547	2	100502868	ENSMUST00000218774.1	-2068	ENSMUSG00000112739	predicted gene, 20597	0.0308450362581528	0	0	0.0019874102538997	0	0	0	0	0	0	53521056	0.7341779597	0.9833933573	0.8587856585	0.1557591218	0.09428457929
chr10	59905660	Dnajb12	59905529	132	*	Distal Intergenic	10	59879626	59898521	18896	1	56709	ENSMUST00000020309.6	25903	ENSMUSG00000020109	DnaJ heat shock protein family (Hsp40) member B12	2.41212041801666	1.88352500441314	3.54968337049656	3.71185618337733	2.9654942739535	2.90748545416646	2.52609710698541	2.69625390158823	2.0754926940781	2.65803114698928	59905528	0.6336261999	0.9681145003	0.8008703501	0.1543703627	0.0892597175
chr10	60270381	Psap	60270202	180	*	Distal Intergenic	10	60277627	60302594	24968	1	19156	ENSMUST00000105465.7	-7246	ENSMUSG00000004207	prosaposin	2.3759361700511	1.6877447423517	3.15206542686208	3.64921344516886	5.32002680292504	6.81502102231363	5.74590570315458	7.48689151412421	8.75873236705658	8.87413108159853	60270201	0.6898148148	0.9564363059	0.82312556035	0.2381575779	0.04870571281
chr10	61779189	Mir5108	61779049	141	*	Intron (ENSMUST00000020283.4/404634, intron 1 of 8)	10	61774737	61774821	85	1	100628583	ENSMUST00000175276.1	4312	ENSMUSG00000093017	microRNA 5108	0	0	0	0	0	0	0	0	0	0	61779048	0.6111111111	1	0.80555555555	0.2	0.03448275862
chr10	61997550	Col13a1	61997406	145	*	Distal Intergenic	10	61838236	61979108	140873	2	12817	ENSMUST00000105454.2	-18298	ENSMUSG00000058806	collagen, type XIII, alpha 1	0.238279392194911	0.077860964214147	0.0389151205225159	0.0600006398213918	0.0776214912822179	0	0	0	0	0	61997405	0.8155601422	0.9517718715	0.88366600685	0.08878254793	0.06969314838
chr10	80105273	Sbno2	80105095	179	*	Promoter (<=1kb)	10	80066249	80105571	39323	2	216161	ENSMUST00000218462.1	298	ENSMUSG00000035673	strawberry notch 2	0.340393267058413	0.0238555585317365	0.120936763521001	0.724508730053534	1.23200282932609	1.64304021906939	1.32609112345733	1.24283028019698	1.56312989671889	1.41042114087139	80105094	0.6428571429	1	0.82142857145	0.1904761905	0
chr10	80111208	Stk11	80111070	139	*	Distal Intergenic	10	80115803	80130469	14667	1	20869	ENSMUST00000144883.7	-4595	ENSMUSG00000003068	serine/threonine kinase 11	4.5244503477461	4.6890289527684	5.29737008515445	5.04102008497441	5.40629332670039	3.74841929298422	3.57323030664419	2.38713576912166	3.13569793217751	2.56316488061549	80111069	0.7777777778	0.9615384615	0.86965811965	0.2367741935	0.05879120879
chr10	80444713	Tcf3	80444614	100	*	Distal Intergenic	10	80409547	80433647	24101	2	21423	ENSMUST00000105343.7	-10967	ENSMUSG00000020167	transcription factor 3	2.88514703623247	2.18622088882827	2.20093254956553	1.41352968766479	1.25577895921546	0.978901167198999	0.615202612706606	0.911224397619698	1.22497537311503	0.722601747341258	80444613	0.8	0.9268292683	0.86341463415	0.2051282051	0.5
chr10	80512836	Onecut3	80512705	132	*	Intron (ENSMUST00000051773.8/246086, intron 1 of 1)	10	80494835	80517276	22442	1	246086	ENSMUST00000051773.8	17870	ENSMUSG00000045518	one cut domain, family member 3	0.146510982212239	0.0737609322331546	0	0.0266642412030476	0.215038918462362	0.000815197535062854	0	0.0304208848661973	0.000597039243653837	0	80512704	0.75	0.86	0.805	0.2264150943	0.34
chr10	80680816	Mknk2	80680669	148	*	Distal Intergenic	10	80671946	80678112	6167	2	17347	ENSMUST00000199949.1	-2557	ENSMUSG00000020190	MAP kinase-interacting serine/threonine kinase 2	3.04680533830764	1.97538027186313	4.72070831265699	4.58842301534973	4.62173457736889	3.23009775740657	2.69169638793436	1.64945122991801	1.8160073582089	3.10612009746612	80680668	0.7998667999	0.931827957	0.86584737845	0.1228632479	0.1692517007
chr11	101440485	Rpl27	101440348	138	*	Promoter (1-2kb)	11	101442298	101445529	3232	1	19942	ENSMUST00000077856.12	-1813	ENSMUSG00000063316	ribosomal protein L27	2.51713870379649	1.91808845701236	5.27859882705004	6.60950570287378	7.37990218233429	8.16061477789888	8.10333461374322	8.28831212126852	7.90680539788195	8.3997210786922	101440347	0.9736842105	0.9457671958	0.95972570315	0.2492260062	0.4299450549
chr11	102237997	Hdac5	102237851	147	*	Distal Intergenic	11	102195751	102230166	34416	2	15184	ENSMUST00000107152.8	-7685	ENSMUSG00000008855	histone deacetylase 5	0.0369765521737588	0	0.214715325953811	0.503809770742691	0.380463337329964	0.726248234218017	0.449823150749162	0.409541177741789	0.338012520260907	0.315383701175176	102237850	0.6781031469	0.9501035815	0.8141033642	0.1691037736	0.01162790698
chr11	106940106	Smurf2	106939903	204	*	Distal Intergenic	11	106820066	106920715	100650	2	66313	ENSMUST00000103067.9	-19188	ENSMUSG00000018363	SMAD specific E3 ubiquitin protein ligase 2	5.66954077856557	5.97787863054726	6.29953643574625	5.37449568075017	4.80352579088891	2.83534057789736	2.15436606746539	2.29518651120754	2.17266564237457	2.53699102082365	106939902	0.6666666667	1	0.83333333335	0.21875	0.3076923077
chr11	114831939	Gprc5c	114831796	144	*	Distal Intergenic	11	114851152	114863733	12582	1	70355	ENSMUST00000133245.1	-19213	ENSMUSG00000051043	G protein-coupled receptor, family C, group 5, member C	2.5606196851601	2.9259566073746	2.10074244963375	2.69171306191959	3.67420513592297	4.05832545940509	2.885142274055	1.82496432756331	1.55764297718069	0.947049502138133	114831795	0.6664309955	0.9440774107	0.8052542031	0.1595519544	0.1392857143
chr11	115538694	Sumo2	115538589	106	*	Distal Intergenic	11	115523102	115536276	13175	2	170930	ENSMUST00000153892.1	-2313	ENSMUSG00000020738	small ubiquitin-like modifier 2	2.4050555412035	1.31509879126521	4.24730624548398	4.70349654128375	5.88548839995723	6.53214871495064	6.61947105546994	5.38317490163689	5.27986709206852	5.2354564847956	115538588	0.7777777778	0.9836065574	0.8806921676	0.1034482759	0
chr11	115870976	Llgl2	115870859	118	*	Intron (ENSMUST00000093911.10/ENSMUST00000093911.10, intron 15 of 63)	11	115855032	115855780	749	1	217325	ENSMUST00000132999.1	15827	ENSMUSG00000020782	LLGL2 scribble cell polarity complex component	3.29491495586815	2.15026454118642	2.45012276756298	2.78102474705785	1.38806488143071	1.52024442873293	1.081632508638	0.912220608807385	1.19178193105959	1.34814254836025	115870858	0.7083333333	0.9638554217	0.8360943775	0.05263157895	0.1466666667
chr11	4582289	Mtmr3	4582137	153	*	Intron (ENSMUST00000109943.9/74302, intron 1 of 17)	11	4480868	4594815	113948	2	74302	ENSMUST00000109943.9	12526	ENSMUSG00000034354	myotubularin related protein 3	3.07685627743044	3.15207021187907	2.92062881320093	2.59423606038138	3.29232816318904	2.53267861876384	1.92743961218906	1.64647295365447	1.87996142938401	1.25174988976337	4582136	0.85	0.9772727273	0.91363636365	0.2452830189	0.45
chr11	77611691	Taok1	77611580	112	*	Distal Intergenic	11	77529162	77607815	78654	2	216965	ENSMUST00000058496.7	-3765	ENSMUSG00000017291	TAO kinase 1	5.86405801986062	5.8103633138007	6.56647075860762	5.57090800734143	5.07527175411861	4.83835888515427	4.79140992117149	3.46627448181446	3.93433538834091	3.36840792803274	77611579	0.78125	0.9555555556	0.8684027778	0.2127659574	0
chr11	77653501	Nufip2	77653356	146	*	Distal Intergenic	11	77686155	77712741	26587	1	68564	ENSMUST00000100802.10	-32654	ENSMUSG00000037857	nuclear fragile X mental retardation protein interacting protein 2	4.86688572664272	4.68994885344967	5.11013329069773	4.8109907808932	5.64760441190964	4.40693578327773	4.43033761145456	2.76958679139464	3.12306799533929	3.82229618854098	77653355	0.8194444444	1	0.9097222222	0.1698113208	0.1081168831
chr11	82918499	Unc45b	82918364	136	*	Intron (ENSMUST00000108160.7/217012, intron 7 of 19)	11	82911253	82943403	32151	1	217012	ENSMUST00000164945.2	7111	ENSMUSG00000018845	unc-45 myosin chaperone B	0	0.0122432351488977	0.534456446281338	0.954867661474545	1.13188167587657	0.78944929249896	0.372394376039193	0.0732495118441075	0	0	82918363	0.9	0.9511811277	0.92559056385	0.1644736842	0.06155202822
chr11	87006638	Ypel2	87006493	146	*	Distal Intergenic	11	86936425	86993707	57283	2	77864	ENSMUST00000018571.4	-12786	ENSMUSG00000018427	yippee like 2	5.8939242680299	5.51046544640773	5.87052694410299	6.65376047524964	7.44433604038421	6.59476973043479	5.98081376853815	3.61435702811357	3.851582434191	2.9683512044833	87006492	0.662150921	0.9461606278	0.8041557744	0.1065073225	0.05846831486
