chr1	15975327	15975334
chr1	33709368	33709375
chr1	75861743	75861750
chr1	82976762	82976769
chr1	90540713	90540720
chr1	103767055	103767062
chr1	133363057	133363064
chr1	151529873	151529880
chr1	151530511	151530518
chr1	151874194	151874201
chr1	171517194	171517201
chr1	182514933	182514940
chr10	12851278	12851285
chr10	31298383	31298390
chr10	31298385	31298392
chr10	63178800	63178807
chr11	3175717	3175724
chr11	20216745	20216752
chr11	50928358	50928365
chr11	83762087	83762094
chr11	87463869	87463876
chr11	88777629	88777636
chr11	98566314	98566321
chr11	99916841	99916848
chr12	32704560	32704567
chr12	51493549	51493556
chr12	59098407	59098414
chr12	59098409	59098416
chr12	80556880	80556887
chr12	83378202	83378209
chr12	115606595	115606602
chr13	3196464	3196471
chr13	12528796	12528803
chr13	12528798	12528805
chr13	13473078	13473085
chr13	24792708	24792715
chr13	43317917	43317924
chr13	73375309	73375316
chr13	92898422	92898429
chr13	111298784	111298791
chr13	111298786	111298793
chr14	19708626	19708633
chr14	19765209	19765216
chr14	48329562	48329569
chr14	63794196	63794203
chr15	64413184	64413191
chr15	71295065	71295072
chr15	71295476	71295483
chr15	71295478	71295485
chr15	74895948	74895955
chr15	74896422	74896429
chr15	75380253	75380260
chr15	96636257	96636264
chr16	30159234	30159241
chr16	30159330	30159337
chr16	35563221	35563228
chr16	56902357	56902364
chr16	91435280	91435287
chr17	15621216	15621223
chr17	21375394	21375401
chr17	21375660	21375667
chr17	21375662	21375669
chr17	26465245	26465252
chr17	56252347	56252354
chr17	56252541	56252548
chr17	88136961	88136968
chr17	88136996	88137003
chr18	46996983	46996990
chr18	73997673	73997680
chr19	31136505	31136512
chr19	40566022	40566029
chr19	42385043	42385050
chr19	42385045	42385052
chr2	10137545	10137552
chr2	20665993	20666000
chr2	38659997	38660004
chr2	38659999	38660006
chr2	92513304	92513311
chr2	94067063	94067070
chr2	106986039	106986046
chr2	164232093	164232100
chr2	169085720	169085727
chr2	170624879	170624886
chr3	9297584	9297591
chr3	32035322	32035329
chr3	79883474	79883481
chr3	85372965	85372972
chr3	103443527	103443534
chr3	110267219	110267226
chr3	127808441	127808448
chr3	129966907	129966914
chr3	144256456	144256463
chr4	35136337	35136344
chr4	35292032	35292039
chr4	43138385	43138392
chr4	43139821	43139828
chr4	53952089	53952096
chr4	54995036	54995043
chr4	106596599	106596606
chr4	125585815	125585822
chr4	126217167	126217174
chr4	147815792	147815799
chr4	147817063	147817070
chr4	155675155	155675162
chr5	12047800	12047807
chr5	25717253	25717260
chr5	25717921	25717928
chr5	39522321	39522328
chr5	67458151	67458158
chr5	76869452	76869459
chr5	81590965	81590972
chr5	81591678	81591685
chr5	91038189	91038196
chr5	99848939	99848946
chr5	99849528	99849535
chr5	99849530	99849537
chr5	136153657	136153664
chr6	17830972	17830979
chr6	88582827	88582834
chr6	133189410	133189417
chr7	24498112	24498119
chr7	30848233	30848240
chr7	44709515	44709522
chr7	60007580	60007587
chr7	60007685	60007692
chr7	60039891	60039898
chr7	65412251	65412258
chr7	73399058	73399065
chr7	84754754	84754761
chr7	97556315	97556322
chr7	130145199	130145206
chr7	138370317	138370324
chr8	11863616	11863623
chr8	11893345	11893352
chr8	112316521	112316528
chr9	20366723	20366730
chr9	31556716	31556723
chr9	47562604	47562611
chr9	61546149	61546156
chr9	96408808	96408815
chr9	119114449	119114456
