chr	start	end	EPI_E65_Nanog
chrX	5452409	5452761	21.20642539858818
chrX	6727668	6728070	11.307034831735033
chrX	7188402	7188693	16.589752561038303
chrX	7197761	7198371	13.991544820441574
chrX	7429139	7429542	19.40413855086485
chrX	7574456	7574768	23.97396094371111
chrX	7638470	7638783	16.293651955577133
chrX	7648597	7649320	23.111917041973783
chrX	7728350	7728797	15.317764314229056
chrX	7750572	7750885	11.401901924572051
chrX	7762580	7762902	18.684633403090956
chrX	7789723	7790044	21.23794222620789
chrX	7841295	7841738	39.43343390729573
chrX	7869737	7870301	29.55469979969322
chrX	7883606	7884509	19.181268967663332
chrX	7898920	7899612	22.52053796073605
chrX	7912761	7913085	12.625242554111246
chrX	7947714	7948440	22.703162438941725
chrX	8002001	8003074	15.235651310425657
chrX	8012864	8013990	32.833378327676286
chrX	8132156	8132443	18.83510908598684
chrX	8183018	8183865	16.385967894737668
chrX	8192626	8192958	19.70035600087729
chrX	8217619	8218000	12.668917648435578
chrX	8219535	8220104	17.662554906835037
chrX	8252180	8252968	15.47771318067754
chrX	9159302	9160218	21.07630360282665
chrX	9479005	9479379	11.50274971334692
chrX	9662500	9662933	15.373882461089735
chrX	10714640	10715254	19.985313466783456
chrX	10717144	10717721	21.405274164738646
chrX	10734190	10734759	32.82670040499347
chrX	10776112	10776611	18.04285220679396
chrX	10992788	10993140	17.42280024561015
chrX	11423237	11424233	21.497254589954053
chrX	11663467	11663766	27.987536427169342
chrX	11664383	11665246	20.414937745378303
chrX	11734840	11735701	12.195428819468074
chrX	11745784	11746442	21.176962075624786
chrX	11753019	11753684	14.691848343297055
chrX	11803099	11803489	27.415240141061638
chrX	11807260	11807996	16.651863441519115
chrX	11957352	11957635	11.505966432524232
chrX	12047812	12048499	13.227141852288614
chrX	12090537	12091007	25.179545439050553
chrX	12113792	12114358	20.853715798880103
chrX	12122946	12123193	22.245651685274563
chrX	12136594	12137158	31.075920896327244
chrX	12140141	12140473	24.204463384237634
chrX	12153359	12153857	41.76653389758374
chrX	12225314	12225723	16.090056414709114
chrX	12287394	12288646	34.818734283264455
chrX	12292933	12293700	29.9336670175525
chrX	12587376	12587650	15.573132601967693
chrX	12673277	12673545	14.499910489836736
chrX	12761813	12762395	24.10176450853905
chrX	12839858	12840315	16.894938289467042
chrX	13041480	13041989	15.210767442444688
chrX	13070374	13071355	25.028144579779482
chrX	13206635	13206991	17.239858678217683
chrX	13231006	13231275	13.920060703745563
chrX	13240803	13241526	18.717620505336903
chrX	13280182	13281601	20.782065226210097
chrX	13346177	13347584	24.15367639903575
chrX	13416498	13417265	15.743810615141669
chrX	13461678	13462015	14.142452879546305
chrX	13846821	13847148	13.446806965982512
chrX	14758864	14759296	23.772696654001873
chrX	15631744	15632004	15.475570106506348
chrX	17571711	17572346	19.74480637678011
chrX	18161973	18162683	23.169780665384213
chrX	19906806	19907371	16.390222144337883
chrX	20364128	20364936	14.460135608026297
chrX	20425247	20425952	20.38228977284533
chrX	20617271	20617640	22.678242546433033
chrX	20662775	20663128	17.119192642125462
chrX	20687699	20688414	15.729276206276634
chrX	20703850	20704570	14.382984658082327
chrX	20794419	20794701	31.70572703611766
chrX	20798393	20798803	21.86670771342952
chrX	20921063	20921410	13.45431085965819
chrX	20950380	20950896	17.831667765166408
chrX	20961708	20962273	16.98390404861585
chrX	21062148	21062407	13.453175253849693
chrX	21089165	21089498	13.305015217434537
chrX	21900619	21901491	24.415520334462506
chrX	22089234	22089775	27.39615316972715
chrX	23248437	23248797	14.512932387987773
chrX	23692962	23693387	14.321005729226504
chrX	31225324	31225652	12.206913430516313
chrX	35888345	35888599	11.253473732415147
chrX	36807877	36808146	17.709000732818943
chrX	36864143	36864537	15.19875776465169
chrX	36989717	36989966	12.325595419090915
chrX	37084991	37085532	18.617459034523108
chrX	37109827	37110672	18.10529513387285
chrX	37126863	37127128	13.868993935495054
chrX	38189813	38190069	15.01022283732891
chrX	38473414	38474101	13.92355099585032
chrX	38564646	38565440	21.22054528349293
chrX	38600444	38600908	16.049936504199586
chrX	38634858	38635342	18.943054607091856
chrX	41400167	41400764	22.981486068099386
chrX	42068058	42068559	14.028084754943848
chrX	43430512	43430839	13.988754345371818
chrX	43949508	43949808	9.124829972585042
chrX	46852360	46852776	14.369370274818861
chrX	47891852	47892218	11.48608665518422
chrX	48071959	48073001	26.365987504054853
chrX	48124595	48124919	12.320052762090423
chrX	48284733	48285893	13.405816117237354
chrX	48341673	48341921	12.599189396827452
chrX	48462608	48463216	13.40081469949923
chrX	48513345	48513983	22.110255184592123
chrX	48633480	48633725	11.859362271367287
chrX	48694664	48694904	17.00922107299169
chrX	48739572	48739904	7.752758313374347
chrX	49287886	49288348	16.23795498397959
chrX	49406149	49406388	124.92203717650729
chrX	49797247	49797805	13.407517485293864
chrX	50635546	50635794	10.32654663824266
chrX	50985296	50985872	12.715182322594854
chrX	51018137	51019172	12.986279887968792
chrX	51897378	51897717	10.66878484624677
chrX	52020402	52020669	11.674134629496027
chrX	52165010	52165659	15.665825211946697
chrX	52189324	52189676	16.33591344681653
chrX	52614041	52614339	15.355209955433072
chrX	52745638	52746647	21.7464664022561
chrX	52753823	52754202	16.326106368394516
chrX	53056910	53057846	19.43465480947087
chrX	56455803	56456252	13.4081302230767
chrX	57923548	57923783	14.079444682344477
chrX	58008245	58008772	19.074516220382314
chrX	58038312	58038916	22.640846367703368
chrX	58121198	58121937	22.006327634251328
chrX	58129734	58129991	15.23003492095591
chrX	58151079	58151577	26.300734883810144
chrX	58155311	58155992	24.838895464433623
chrX	61727463	61728189	16.384626572453943
chrX	62280735	62281029	10.234649356530637
chrX	65346900	65347134	8.669045097807533
chrX	65676794	65677053	9.359361331895512
chrX	67502253	67502498	17.301632164935675
chrX	68511935	68512861	15.565474780537912
chrX	71214990	71215297	7.25431909234982
chrX	71492380	71492816	10.010092928868914
chrX	71555570	71556214	16.642553286522812
chrX	71962554	71962901	15.67478276948077
chrX	72918075	72918557	15.387430582798368
chrX	73673138	73673386	12.605334243466777
chrX	73715964	73716743	20.14502889660112
chrX	73786650	73786935	16.65342116774174
chrX	73824681	73825251	10.968855242980155
chrX	73871741	73872078	13.66395344437053
chrX	73967096	73967753	14.85453830716091
chrX	73999104	73999676	20.016628081981953
chrX	74085458	74086191	16.19494904339883
chrX	74254396	74255065	12.534772614905297
chrX	74270107	74270746	28.049857511206973
chrX	74392974	74393290	13.467182594009593
chrX	74428530	74429611	12.074122943225335
chrX	74517305	74518196	24.734034448360354
chrX	75095560	75095963	17.322375200522448
chrX	75416122	75416560	13.07976552449405
chrX	75514280	75514624	20.028017920117044
chrX	75673998	75674629	15.585943187284395
chrX	75829222	75830305	14.972072415955068
chrX	75874820	75875395	11.303372345799986
chrX	75882607	75883179	22.245292411817537
chrX	75942521	75942787	9.724990830385595
chrX	76128865	76129388	9.121548495830586
chrX	77509360	77509698	24.418390059612207
chrX	77510340	77510854	27.055046612186654
chrX	77567784	77568714	24.819721189109227
chrX	77796361	77796924	11.009309267277828
chrX	82741512	82741836	14.214537532241255
chrX	85573642	85573876	16.931786231505566
chrX	85776331	85777139	11.565471289181474
chrX	86016715	86016985	11.56415390085291
chrX	88158234	88158499	18.20879622045553
chrX	90241995	90242717	20.246846813244172
chrX	93285984	93286760	31.258678364999515
chrX	93631976	93632353	14.889462600019947
chrX	93675256	93675503	12.025066371871393
chrX	93831714	93832165	14.350460333729002
chrX	94133514	94134248	22.00598561341496
chrX	94177890	94178140	24.00497203826904
