chr	start	end	TE_Tfap2c_ds
chr9	3000398	3001016	7.5270760142301665
chr9	3199435	3199792	10.284552648955701
chr9	3258607	3259336	6.8513604264364
chr9	3327725	3328918	15.705693907629813
chr9	3335116	3335690	14.67939654127646
chr9	3403407	3403970	13.571521843728968
chr9	3425516	3426135	14.944261420716762
chr9	4309052	4310100	12.254687680997922
chr9	4375864	4376330	18.65799665655701
chr9	4376561	4376966	25.4792646313891
chr9	5066554	5066806	9.73124557260483
chr9	5549609	5549845	14.037444437964488
chr9	6776399	6776814	8.8116756220898
chr9	6834739	6835080	15.559797130372168
chr9	6896795	6897103	12.50755321515071
chr9	6914638	6915061	12.00904803580426
chr9	6921819	6922490	12.044656729378394
chr9	6927368	6927633	13.397616983809561
chr9	6927951	6928246	10.169343397172831
chr9	6967631	6967885	17.647486814363734
chr9	6968132	6968387	14.160692914326985
chr9	7184168	7185291	21.577663910781713
chr9	7304304	7305207	11.414275320925453
chr9	7307675	7307940	10.611761183108923
chr9	7320097	7320321	13.763171775000435
chr9	7763568	7764757	26.77443744155717
chr9	7793411	7793703	9.034005530892987
chr9	7836320	7837753	45.031523203400575
chr9	7862689	7862949	9.123105241702152
chr9	7872523	7873685	11.088127286832222
chr9	7900900	7901659	17.94456419297672
chr9	7906409	7907919	18.852194919965125
chr9	7914454	7915071	9.35085995193432
chr9	7977343	7977689	12.626835333818645
chr9	7977961	7978588	20.985615158385258
chr9	7999095	7999713	14.06014683022854
chr9	8004745	8005209	18.07351068998205
chr9	8017383	8017673	14.345854466536949
chr9	8019505	8019791	10.582902554865484
chr9	8033658	8034947	43.60160649997306
chr9	8035483	8036008	20.203554880051385
chr9	8043453	8043875	10.580534254770143
chr9	8133417	8134213	19.36872645957985
chr9	8187392	8188170	13.783701932215752
chr9	8901030	8901815	9.480953085954022
chr9	9238540	9239563	17.60358239152448
chr9	9269605	9270379	33.66765596946696
chr9	9310899	9311263	11.775913128486046
chr9	12038326	12038571	12.523317597836865
chr9	13084200	13084426	9.164326178289093
chr9	13246938	13247224	11.010571483131889
chr9	13716558	13717245	11.502649119847726
chr9	13749209	13749625	10.595310661655207
chr9	13826438	13827974	33.20014918036759
chr9	14275790	14277018	29.62634640640855
chr9	14342527	14342827	8.813120290438334
chr9	14380243	14381807	16.073676406879866
chr9	14500197	14501238	12.443042882008694
chr9	14615232	14615534	11.481341194632828
chr9	14751727	14752529	16.79862253683761
chr9	14778265	14779142	12.297464369368255
chr9	14784638	14785136	12.003043551042856
chr9	14802397	14803066	11.885595683025137
chr9	15022696	15023009	8.715733494621496
chr9	15036183	15036726	19.66053921258691
chr9	15044882	15045885	14.485625789030005
chr9	15245556	15245859	18.044620211761778
chr9	15249394	15249663	13.10299033480506
chr9	15255588	15256683	14.806468627006495
chr9	15279420	15279828	10.65451633345847
chr9	15305880	15306551	17.71586054163789
chr9	15319486	15319955	18.020554794685673
chr9	15321395	15322078	30.61353726128708
chr9	15357310	15358040	16.055876150523147
chr9	15492786	15493479	24.419828278677805
chr9	15496154	15496677	16.80619316392829
chr9	15501834	15503080	16.95534453231297
chr9	15541745	15542448	9.30213521045777
chr9	16669108	16669644	9.664733486833857
chr9	17556491	17556716	9.569089084201389
chr9	17557434	17557699	19.610117318495263
chr9	17557933	17558288	16.330496887421944
chr9	18090660	18090953	11.008428357160133
chr9	18372810	18373162	11.302446110682054
chr9	18419636	18419871	9.45698573741507
chr9	18473154	18474148	12.842976157094391
chr9	19092759	19093916	21.94739873757523
chr9	19573023	19573942	30.86177355420732
chr9	19622021	19622306	16.07854416830498
chr9	20384660	20385618	19.750999503942023
chr9	20433753	20434226	9.182275469661011
chr9	20459939	20460211	12.187591384438907
chr9	20467349	20467959	10.19219129984496
chr9	20492852	20493149	13.158318381518226
chr9	20544256	20545135	17.206849220805335
chr9	20581019	20581903	15.696236856382896
chr9	20635759	20636638	16.3862245638894
chr9	20642238	20643555	41.5891779021232
chr9	20651466	20652604	21.567228851083712
chr9	20659931	20660769	24.758247747057094
chr9	20661735	20662554	40.455785152821896
chr9	20740156	20741014	17.070500513890405
chr9	20756781	20757130	7.8073081881405635
chr9	20814660	20815480	11.480199063696512
chr9	20830808	20831181	17.041481087099132
chr9	20877745	20878543	20.15155799645828
chr9	20887810	20888636	18.587253585566042
chr9	20889543	20890092	15.798427390704823
chr9	20890888	20891539	16.78807193269744
chr9	20898651	20899066	22.56272389974939
chr9	20900665	20901814	20.33519682788766
chr9	20916577	20916877	10.449434380531311
chr9	20917454	20917690	10.79125794717821
chr9	20934758	20935082	12.053367701577551
chr9	20943572	20944400	21.169027122322486
chr9	20952816	20953378	18.11850248961262
chr9	20969889	20970187	13.621731962933636
chr9	20976514	20976979	12.423914587369529
chr9	20997730	20998450	16.407799821760918
chr9	21002340	21003583	23.95073817184829
chr9	21014444	21014787	15.4101632287829
chr9	21022168	21022827	10.937411927670377
chr9	21028940	21030072	23.959284254181934
chr9	21030953	21031498	17.17478476008144
chr9	21072802	21073861	46.59921067249561
chr9	21091314	21092050	19.65455740560656
chr9	21092314	21092620	14.932284925498214
chr9	21107217	21108002	15.026937297650964
chr9	21116407	21116879	12.381974389997579
chr9	21130819	21131789	25.49004273857038
chr9	21138364	21138990	13.82027753701987
chr9	21149493	21150370	26.696294123389702
chr9	21161132	21162032	18.53265734354655
chr9	21181189	21181984	22.606145552869112
chr9	21183345	21183607	23.40478478861219
chr9	21204339	21205142	16.56826085913671
chr9	21209858	21210153	8.605252834901972
chr9	21220388	21221676	32.245743884803346
chr9	21223649	21224018	31.691157359094802
chr9	21224281	21224672	25.51595385909995
chr9	21225145	21225494	32.37452462751066
chr9	21237541	21239678	30.402625446844073
chr9	21248251	21248679	29.11502572532012
chr9	21251206	21252776	46.82468047172401
chr9	21261826	21262536	25.760879218410437
chr9	21264701	21265779	31.62636611368749
chr9	21269822	21270551	20.852204759752144
chr9	21272016	21272270	22.873577553456222
chr9	21281272	21281819	15.11248154091007
chr9	21287543	21288457	49.21668432473615
chr9	21290737	21291898	44.84648534493853
chr9	21292772	21293005	25.317124755597423
chr9	21312036	21312681	16.36517958825873
chr9	21313109	21313864	31.28134272998532
chr9	21320292	21321086	34.51275353948175
chr9	21337442	21338251	18.542484291699083
chr9	21349946	21351729	31.03421652485767
chr9	21357184	21357904	15.466644118891821
chr9	21359217	21359515	15.871872434680094
chr9	21366498	21367938	25.955583644575544
chr9	21374954	21375214	13.279342640363254
chr9	21384447	21384851	14.655278250722603
chr9	21403150	21404402	16.622879519820593
chr9	21411351	21412039	14.369320396767106
chr9	21417136	21417870	19.394907254938857
chr9	21419687	21420427	28.401564310692454
chr9	21424298	21424715	26.110509442482634
chr9	21424955	21425384	25.207030456382913
chr9	21445092	21445410	17.73261657450934
chr9	21455092	21455330	18.186863622745545
chr9	21455997	21457077	19.8587413293344
chr9	21471627	21472315	18.546379049156986
chr9	21479751	21480471	17.68341824743483
chr9	21509572	21510875	25.969903926161372
chr9	21517871	21518130	7.168120774523172
chr9	21526569	21526803	18.6261151346386
chr9	21545641	21546581	59.01031409324484
chr9	21565606	21566566	14.720960734287898
chr9	21581177	21581407	9.97831514607305
chr9	21592495	21593184	14.465753355981304
chr9	21615534	21617514	29.5992345932711
chr9	21626800	21627065	15.196467849443543
chr9	21646028	21646303	9.896260802529074
chr9	21723626	21724686	24.895914230706556
chr9	21725972	21726825	22.854390844231055
chr9	21729213	21729453	19.880476375420887
chr9	21760609	21760991	33.7145388987676
chr9	21761975	21762912	19.813697536065458
chr9	21773495	21774243	9.481269293927891
chr9	21786881	21787574	15.221414439433925
chr9	21798230	21798804	19.47296423529914
chr9	21811240	21811528	12.268868588738972
chr9	21824210	21824479	16.604545359274713
chr9	21852395	21852987	17.65044508270315
chr9	21866565	21867109	26.552297325695264
chr9	21901352	21901578	14.172920134215229
chr9	21917672	21919130	13.706856394010316
chr9	21926990	21927780	15.7868423884428
chr9	21955262	21956353	21.132988785517313
chr9	22002245	22003394	20.118016560872395
chr9	22014224	22014794	12.955578012633742
chr9	22036016	22037062	21.92311716717926
chr9	22037774	22038107	14.700492051270631
chr9	22043747	22045286	22.377087323521547
chr9	22050003	22051053	27.943324695768812
chr9	22054513	22054947	33.8986448120961
chr9	22070411	22071764	40.82441600058049
chr9	22085099	22085703	11.098931410454757
chr9	22095841	22096158	9.572099142646188
chr9	22116711	22117607	17.523929724735872
chr9	22118026	22118602	14.387653877337774
chr9	22130961	22132243	33.41504528146824
chr9	22136913	22138103	21.798094623229083
chr9	22138476	22139153	18.292007305421365
chr9	22149621	22149865	14.993770775247793
chr9	22156864	22157377	18.381285301193625
chr9	22161278	22161945	15.493019083986754
chr9	22193841	22194149	10.144316360547945
chr9	22196615	22196890	15.24946495402943
chr9	22225038	22226236	21.82072830598223
chr9	22259471	22260294	13.42149034537203
chr9	22266533	22267117	16.314874802550225
chr9	22305882	22306730	14.670374588021692
chr9	22307335	22308081	13.167226881507894
chr9	22319463	22319786	8.58452783206668
chr9	22353425	22354400	13.091008638724302
chr9	22378644	22379597	13.798874509297038
chr9	22388349	22389891	26.41647083131565
chr9	22390210	22391024	27.309482494794764
chr9	22403350	22403620	12.387077826040763
chr9	22408648	22408872	14.545683958700725
chr9	22411060	22411737	12.383942266686804
chr9	22467416	22468876	24.800411805061444
chr9	22475482	22476047	12.500976024897753
chr9	22570846	22571438	8.785560195510453
chr9	22642552	22642808	10.093241844326258
chr9	22971797	22972225	12.603629567912806
chr9	23222691	23223524	14.636290851331989
chr9	23563989	23564352	10.334181212853466
chr9	24477881	24479410	20.122139495989323
chr9	24488187	24490431	21.1747475754381
chr9	24502892	24503894	23.119056060166653
chr9	24745087	24745435	16.582109273165123
chr9	24762748	24763401	12.752130331708315
chr9	24770198	24770819	19.970541481042638
chr9	24773973	24774985	24.31722671806577
chr9	24780858	24781346	19.27594260114138
chr9	24818349	24819375	12.144376860724556
chr9	24911523	24911761	13.095809575890293
chr9	24930795	24932385	16.681756286501134
chr9	25091137	25091539	13.701313431583234
chr9	25151259	25152452	34.124199643418855
chr9	25158110	25159050	9.38727484358118
chr9	25243778	25244404	10.591117408709785
chr9	25251683	25252503	39.81980047225952
chr9	25340008	25341855	17.932030203038785
chr9	25400823	25401546	12.24251717650544
chr9	25435499	25435898	13.396502764900227
chr9	25467986	25468427	10.726444648777276
chr9	25481071	25482041	19.72337409442233
