Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
CP_EPI_E6.5_Nanog_rep4.R1	74.6496478334	150.0	79623819.0	54.5454545455	60.0
CP_EPI_E6.5_Nanog_rep4.R2	72.5820228539	150.0	79623819.0	54.5454545455	71.0
CP_EPI_E6.5_Nanog_rep5.R1	80.9959052742	150.0	47518623.0	45.4545454545	66.0
CP_EPI_E6.5_Nanog_rep5.R2	78.0250174434	150.0	47518623.0	45.4545454545	78.0
CP_EPI_E6.5_Sox2_rep4.R1	87.9701061499	150.0	97880989.0	36.3636363636	67.0
CP_EPI_E6.5_Sox2_rep4.R2	80.093524642	150.0	97880989.0	45.4545454545	82.0
CP_EPI_E6.5_Sox2_rep5.R1	83.8598790441	150.0	79507789.0	45.4545454545	56.0
CP_EPI_E6.5_Sox2_rep5.R2	80.5533276393	150.0	79507789.0	45.4545454545	65.0
CP_EXE_E6.5_Gata3_rep1.R1	90.4984709766	150.0	78448222.0	36.3636363636	68.0
CP_EXE_E6.5_Gata3_rep1.R2	87.2275851212	150.0	78448222.0	36.3636363636	82.0
CP_EXE_E6.5_Gata3_rep2.R1	88.5609543599	150.0	56350715.0	45.4545454545	69.0
CP_EXE_E6.5_Gata3_rep2.R2	86.0318855209	150.0	56350715.0	45.4545454545	87.0
